avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.94,423,1.6852367688022285,2.0,0.9444444444444444,425,0.9905882352941177,0.9905882352941177,421,421,425,425,0.8479809976247031,357,421,0.938375350140056,335,357,0.7444444444444446,0.45111111111111113,203,0.015555555555555555,7,0.05555555555555555,25,1.0,1.6595744680851063,2.0,423,0.45555555555555555,205,0.9444444444444444,425,0.8555555555555555,385,1.0,450,4,382,64,0.008888888888888889,0.8488888888888889,0.14222222222222222,0.0,0,0.14222222222222222,64,0.7977777777777778,359,0.7444444444444445,335,2000,-1.1102230246251565e-16,0.7444444444444445,335,335,0,0,s1s3,450,0.94,423
27.406666666666666,0.9533333333333334,429,1.8101265822784811,2.0,0.9622222222222222,433,0.9861431870669746,0.9861431870669746,427,427,433,433,0.9203747072599532,393,427,0.9923664122137404,390,393,0.8666666666666667,0.3422222222222222,154,0.006666666666666667,3,0.03777777777777778,17,1.0,1.8391608391608392,2.0,429,0.3466666666666667,156,0.9622222222222222,433,0.9244444444444444,416,1.0,450,0,416,34,0,0.9244444444444444,0.07555555555555556,0.0,0,0.07555555555555556,34,0.8777777777777778,395,0.8666666666666667,390,4000,0.0,0.8666666666666667,390,390,0,0,s1s3,450,0.9533333333333334,429
27.406666666666666,0.9377777777777778,422,2.0813648293963256,2.0,0.9511111111111111,428,0.9836448598130841,0.9836448598130841,421,421,428,428,0.9026128266033254,380,421,0.9947368421052631,378,380,0.84,0.30666666666666664,138,0.013333333333333334,6,0.04888888888888889,22,1.0,1.995260663507109,2.0,422,0.3088888888888889,139,0.9511111111111111,428,0.9088888888888889,409,1.0,450,0,409,41,0,0.9088888888888889,0.09111111111111111,0.0,0,0.09111111111111111,41,0.8466666666666667,381,0.84,378,6000,0.0,0.84,378,378,0,0,s1s3,450,0.9377777777777778,422
27.406666666666666,0.94,423,2.4656084656084656,2.0,0.96,432,0.9768518518518519,0.9768518518518519,422,422,432,432,0.8933649289099526,377,422,1.0,377,377,0.8377777777777776,0.30666666666666664,138,0.008888888888888889,4,0.04,18,1.0,2.059101654846336,2.0,423,0.3088888888888889,139,0.96,432,0.9,405,1.0,450,0,405,45,0,0.9,0.1,0.0,0,0.1,45,0.84,378,0.8377777777777777,377,8000,1.1102230246251565e-16,0.8377777777777777,377,377,0,0,s1s3,450,0.94,423
27.406666666666666,0.9377777777777778,422,2.3247422680412373,2.0,0.9644444444444444,434,0.9723502304147466,0.9723502304147466,422,422,434,434,0.919431279620853,388,422,0.9845360824742269,382,388,0.8488888888888889,0.26,117,0.008888888888888889,4,0.035555555555555556,16,1.0,2.206161137440758,2.0,422,0.26,117,0.9644444444444444,434,0.9244444444444444,416,1.0,450,0,416,34,0,0.9244444444444444,0.07555555555555556,0.0,0,0.07555555555555556,34,0.8622222222222222,388,0.8488888888888889,382,10000,0.0,0.8488888888888889,382,382,0,0,s1s3,450,0.9377777777777778,422
27.406666666666666,0.9444444444444444,425,2.665809768637532,2.0,0.96,432,0.9837962962962963,0.9837962962962963,425,425,432,432,0.9152941176470588,389,425,0.9897172236503856,385,389,0.8555555555555556,0.3111111111111111,140,0.013333333333333334,6,0.04,18,1.0,2.0752941176470587,2.0,425,0.3111111111111111,140,0.96,432,0.92,414,1.0,450,0,414,36,0,0.92,0.08,0.0,0,0.08,36,0.8644444444444445,389,0.8555555555555555,385,12000,-1.1102230246251565e-16,0.8555555555555555,385,385,0,0,s1s3,450,0.9444444444444444,425
27.406666666666666,0.9488888888888889,427,2.7468671679197993,2.0,0.9644444444444444,434,0.9838709677419355,0.9838709677419355,427,427,434,434,0.9344262295081968,399,427,0.9824561403508771,392,399,0.8711111111111111,0.32666666666666666,147,0.013333333333333334,6,0.035555555555555556,16,1.0,2.0468384074941453,2.0,427,0.32666666666666666,147,0.9644444444444444,434,0.9377777777777778,422,1.0,450,0,422,28,0,0.9377777777777778,0.06222222222222222,0.0,0,0.06222222222222222,28,0.8866666666666667,399,0.8711111111111111,392,14000,0.0,0.8711111111111111,392,392,0,0,s1s3,450,0.9488888888888889,427
27.406666666666666,0.94,423,2.789873417721519,2.0,0.9666666666666667,435,0.9724137931034482,0.9724137931034482,423,423,435,435,0.933806146572104,395,423,0.9822784810126582,388,395,0.8622222222222222,0.28,126,0.013333333333333334,6,0.03333333333333333,15,1.0,2.226950354609929,2.0,423,0.28,126,0.9666666666666667,435,0.9377777777777778,422,1.0,450,0,422,28,0,0.9377777777777778,0.06222222222222222,0.0,0,0.06222222222222222,28,0.8777777777777778,395,0.8622222222222222,388,16000,0.0,0.8622222222222222,388,388,0,0,s1s3,450,0.94,423
27.406666666666666,0.9444444444444444,425,2.711779448621554,2.0,0.9644444444444444,434,0.9792626728110599,0.9792626728110599,425,425,434,434,0.9388235294117647,399,425,0.9799498746867168,391,399,0.8688888888888889,0.30444444444444446,137,0.015555555555555555,7,0.035555555555555556,16,1.0,2.176470588235294,2.0,425,0.30444444444444446,137,0.9644444444444444,434,0.9422222222222222,424,1.0,450,0,424,26,0,0.9422222222222222,0.057777777777777775,0.0,0,0.057777777777777775,26,0.8866666666666667,399,0.8688888888888889,391,18000,0.0,0.8688888888888889,391,391,0,0,s1s3,450,0.9444444444444444,425
27.406666666666666,0.9533333333333334,429,2.9477611940298507,3.0,0.9622222222222222,433,0.9907621247113164,0.9907621247113164,429,429,433,433,0.9370629370629371,402,429,0.9875621890547264,397,402,0.8822222222222224,0.32666666666666666,147,0.02,9,0.03777777777777778,17,1.0,2.1375291375291376,2.0,429,0.32666666666666666,147,0.9622222222222222,433,0.94,423,1.0,450,0,423,27,0,0.94,0.06,0.0,0,0.06,27,0.8933333333333333,402,0.8822222222222222,397,20000,-1.1102230246251565e-16,0.8822222222222222,397,397,0,0,s1s3,450,0.9533333333333334,429
