avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
4.9425675675675675,1.8682432432432432,3,279,13,1,296,0.010135135135135136,0.9425675675675675,0.04391891891891892,0.0033783783783783786,5000,s1s2
4.760135135135135,1.9054054054054055,47,238,11,0,296,0.15878378378378377,0.8040540540540541,0.037162162162162164,0.0,10000,s1s2
4.655405405405405,1.7364864864864864,49,241,6,0,296,0.16554054054054054,0.8141891891891891,0.02027027027027027,0.0,15000,s1s2
4.824324324324325,1.8310810810810811,56,229,11,0,296,0.1891891891891892,0.7736486486486487,0.037162162162162164,0.0,20000,s1s2
4.72972972972973,1.712837837837838,60,225,11,0,296,0.20270270270270271,0.7601351351351351,0.037162162162162164,0.0,25000,s1s2
4.675675675675675,1.6689189189189189,72,213,11,0,296,0.24324324324324326,0.7195945945945946,0.037162162162162164,0.0,30000,s1s2
4.793918918918919,1.9155405405405406,74,212,10,0,296,0.25,0.7162162162162162,0.033783783783783786,0.0,35000,s1s2
4.89527027027027,1.912162162162162,84,204,8,0,296,0.28378378378378377,0.6891891891891891,0.02702702702702703,0.0,40000,s1s2
4.793918918918919,1.7263513513513513,83,205,8,0,296,0.28040540540540543,0.6925675675675675,0.02702702702702703,0.0,45000,s1s2
4.72972972972973,1.787162162162162,75,215,6,0,296,0.2533783783783784,0.7263513513513513,0.02027027027027027,0.0,50000,s1s2
