avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
28.385185185185186,0.9703703703703703,131,2.566666666666667,3.0,0.9703703703703703,131,1.0,1.0,131,131,131,131,0.916030534351145,120,131,0.9833333333333333,118,120,0.874074074074074,0.6666666666666666,90,0.0,0,0.02962962962962963,4,1.0,1.3435114503816794,1.0,131,0.6666666666666666,90,0.9703703703703703,131,0.8962962962962963,121,1.0,135,3,121,11,0.022222222222222223,0.8962962962962963,0.08148148148148149,0.0,0,0.08148148148148149,11,0.8888888888888888,120,0.8740740740740741,118,2000,1.1102230246251565e-16,0.8740740740740741,118,118,0,0,s1s3,135,0.9703703703703703,131
28.385185185185186,0.9703703703703703,131,2.7063492063492065,3.0,0.9703703703703703,131,1.0,1.0,131,131,131,131,0.9618320610687023,126,131,1.0,126,126,0.9333333333333333,0.5851851851851851,79,0.007407407407407408,1,0.02962962962962963,4,1.0,1.4427480916030535,1.0,131,0.5851851851851851,79,0.9703703703703703,131,0.9555555555555556,129,1.0,135,1,129,5,0.007407407407407408,0.9555555555555556,0.037037037037037035,0.0,0,0.037037037037037035,5,0.9333333333333333,126,0.9333333333333333,126,4000,0.0,0.9333333333333333,126,126,0,0,s1s3,135,0.9703703703703703,131
28.385185185185186,0.9851851851851852,133,2.9606299212598426,3.0,0.9851851851851852,133,1.0,1.0,133,133,133,133,0.9548872180451128,127,133,1.0,127,127,0.9407407407407408,0.5777777777777777,78,0.007407407407407408,1,0.014814814814814815,2,1.0,1.5112781954887218,1.0,133,0.5777777777777777,78,0.9851851851851852,133,0.9555555555555556,129,1.0,135,0,129,6,0,0.9555555555555556,0.044444444444444446,0.0,0,0.044444444444444446,6,0.9407407407407408,127,0.9407407407407408,127,6000,0.0,0.9407407407407408,127,127,0,0,s1s3,135,0.9851851851851852,133
28.385185185185186,0.9629629629629629,130,3.1048387096774195,3.0,0.9703703703703703,131,0.9923664122137404,0.9923664122137404,130,130,131,131,0.9538461538461539,124,130,1.0,124,124,0.9185185185185185,0.5925925925925926,80,0.007407407407407408,1,0.02962962962962963,4,1.0,1.4846153846153847,1.0,130,0.5925925925925926,80,0.9703703703703703,131,0.9481481481481482,128,1.0,135,1,128,6,0.007407407407407408,0.9481481481481482,0.044444444444444446,0.0,0,0.044444444444444446,6,0.9185185185185185,124,0.9185185185185185,124,8000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9629629629629629,130
28.385185185185186,0.9555555555555556,129,3.1129032258064515,3.0,0.9629629629629629,130,0.9923076923076923,0.9923076923076923,129,129,130,130,0.9612403100775194,124,129,1.0,124,124,0.9185185185185185,0.5259259259259259,71,0.007407407407407408,1,0.037037037037037035,5,1.0,1.558139534883721,1.0,129,0.5259259259259259,71,0.9629629629629629,130,0.9481481481481482,128,1.0,135,2,128,5,0.014814814814814815,0.9481481481481482,0.037037037037037035,0.0,0,0.037037037037037035,5,0.9185185185185185,124,0.9185185185185185,124,10000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9555555555555556,129
28.385185185185186,0.9481481481481482,128,3.524193548387097,4.0,0.9629629629629629,130,0.9846153846153847,0.9846153846153847,128,128,130,130,0.96875,124,128,0.9838709677419355,122,124,0.9037037037037037,0.5259259259259259,71,0.007407407407407408,1,0.037037037037037035,5,1.0,1.59375,1.0,128,0.5259259259259259,71,0.9629629629629629,130,0.9555555555555556,129,1.0,135,2,129,4,0.014814814814814815,0.9555555555555556,0.02962962962962963,0.0,0,0.02962962962962963,4,0.9185185185185185,124,0.9037037037037037,122,12000,0.0,0.9037037037037037,122,122,0,0,s1s3,135,0.9481481481481482,128
28.385185185185186,0.9333333333333333,126,3.5,3.0,0.9555555555555556,129,0.9767441860465116,0.9767441860465116,126,126,129,129,0.9523809523809523,120,126,1.0,120,120,0.8888888888888888,0.5555555555555556,75,0.014814814814814815,2,0.044444444444444446,6,1.0,1.5396825396825398,1.0,126,0.5555555555555556,75,0.9555555555555556,129,0.9407407407407408,127,1.0,135,2,127,6,0.014814814814814815,0.9407407407407408,0.044444444444444446,0.0,0,0.044444444444444446,6,0.8888888888888888,120,0.8888888888888888,120,14000,0.0,0.8888888888888888,120,120,0,0,s1s3,135,0.9333333333333333,126
28.385185185185186,0.9481481481481482,128,3.5081967213114753,3.0,0.9703703703703703,131,0.9770992366412213,0.9770992366412213,128,128,131,131,0.953125,122,128,1.0,122,122,0.9037037037037037,0.5925925925925926,80,0.007407407407407408,1,0.02962962962962963,4,1.0,1.4921875,1.0,128,0.5925925925925926,80,0.9703703703703703,131,0.9481481481481482,128,1.0,135,1,128,6,0.007407407407407408,0.9481481481481482,0.044444444444444446,0.0,0,0.044444444444444446,6,0.9037037037037037,122,0.9037037037037037,122,16000,0.0,0.9037037037037037,122,122,0,0,s1s3,135,0.9481481481481482,128
28.385185185185186,0.9481481481481482,128,3.024,3.0,0.9703703703703703,131,0.9770992366412213,0.9770992366412213,128,128,131,131,0.9765625,125,128,0.984,123,125,0.911111111111111,0.6074074074074074,82,0.014814814814814815,2,0.02962962962962963,4,1.0,1.46875,1.0,128,0.6074074074074074,82,0.9703703703703703,131,0.9777777777777777,132,1.0,135,0,132,3,0,0.9777777777777777,0.022222222222222223,0.0,0,0.022222222222222223,3,0.9259259259259259,125,0.9111111111111111,123,18000,1.1102230246251565e-16,0.9111111111111111,123,123,0,0,s1s3,135,0.9481481481481482,128
28.385185185185186,0.9481481481481482,128,3.4878048780487805,3.0,0.9703703703703703,131,0.9770992366412213,0.9770992366412213,128,128,131,131,0.9609375,123,128,1.0,123,123,0.9111111111111111,0.6296296296296297,85,0.014814814814814815,2,0.02962962962962963,4,1.0,1.421875,1.0,128,0.6296296296296297,85,0.9703703703703703,131,0.9629629629629629,130,1.0,135,0,130,5,0,0.9629629629629629,0.037037037037037035,0.0,0,0.037037037037037035,5,0.9111111111111111,123,0.9111111111111111,123,20000,0.0,0.9111111111111111,123,123,0,0,s1s3,135,0.9481481481481482,128
