avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
6.807407407407408,2.9851851851851854,7,18,2,6,102,135,0.05185185185185185,0.13333333333333333,0.014814814814814815,0.044444444444444446,0.7555555555555555,2000,s1s3
5.62962962962963,2.466666666666667,2,0,0,0,133,135,0.014814814814814815,0,0,0,0.9851851851851852,4000,s1s3
5.955555555555556,2.8296296296296295,3,0,0,0,132,135,0.022222222222222223,0,0,0,0.9777777777777777,6000,s1s3
6.237037037037037,2.911111111111111,4,0,0,0,131,135,0.02962962962962963,0,0,0,0.9703703703703703,8000,s1s3
5.444444444444445,2.251851851851852,5,0,0,0,130,135,0.037037037037037035,0,0,0,0.9629629629629629,10000,s1s3
6.022222222222222,2.948148148148148,4,0,0,0,131,135,0.02962962962962963,0,0,0,0.9703703703703703,12000,s1s3
6.2444444444444445,3.3333333333333335,2,0,0,0,133,135,0.014814814814814815,0,0,0,0.9851851851851852,14000,s1s3
6.37037037037037,3.3333333333333335,1,0,0,0,134,135,0.007407407407407408,0,0,0,0.9925925925925926,16000,s1s3
5.785185185185185,2.8222222222222224,2,0,0,0,133,135,0.014814814814814815,0,0,0,0.9851851851851852,18000,s1s3
6.111111111111111,3.259259259259259,2,0,0,0,133,135,0.014814814814814815,0,0,0,0.9851851851851852,20000,s1s3
