decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,7,85,0.07608695652173914,0.9239130434782609,0.0,0,0.0,0,0.0,0,2000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,4000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,6000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,8000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,10000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,12000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,14000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,16000,0.0,0,s1s2,92
0.0,1.0,92,1.0,92,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,18000,0.0,0,s1s2,92
0.0,0.9891304347826086,91,1.0,91,0.0,0,0.0,0,1.0,92,0.0,0,0,92,0,1.0,0.0,0,0.0,0,0.0,0,20000,0.0,0,s1s2,92
