avg_path_length,avg_stage2_count,avg_target_index,count_NO_EOS,count_SRC_MISMATCH,count_SRC_MISMATCH_INVALID_EDGE,count_SRC_MISMATCH_NO_TARGET,num_pairs,rate_NO_EOS,rate_SRC_MISMATCH,rate_SRC_MISMATCH_INVALID_EDGE,rate_SRC_MISMATCH_NO_TARGET,step
5.151111111111111,1.808888888888889,3.876675603217158,1,336,37,76,450,0.0022222222222222222,0.7466666666666667,0.08222222222222222,0.1688888888888889,2000
5.217777777777778,1.8377777777777777,4.215496368038741,,389,24,37,450,,0.8644444444444445,0.05333333333333334,0.08222222222222222,4000
5.54,2.1,4.4926108374384235,,378,29,43,450,,0.84,0.06444444444444444,0.09555555555555556,6000
5.826666666666667,2.4444444444444446,4.821782178217822,,378,27,45,450,,0.84,0.06,0.1,8000
5.817777777777778,2.3088888888888888,4.765281173594132,,382,28,40,450,,0.8488888888888889,0.06222222222222222,0.08888888888888889,10000
6.062222222222222,2.6355555555555554,5.02200488997555,,385,25,40,450,,0.8555555555555555,0.05555555555555555,0.08888888888888889,12000
6.097777777777778,2.6977777777777776,5.0772946859903385,,392,23,35,450,,0.8711111111111111,0.051111111111111114,0.07777777777777778,14000
6.231111111111111,2.7222222222222223,5.1980676328502415,,388,27,35,450,,0.8622222222222222,0.06,0.07777777777777778,16000
6.164444444444444,2.6844444444444444,5.120481927710843,,391,25,34,450,,0.8688888888888889,0.05555555555555555,0.07555555555555556,18000
6.275555555555556,2.9,5.275779376498801,,397,21,32,450,,0.8822222222222222,0.04666666666666667,0.07111111111111111,20000
