chance_level_mean,prob_bridge_given_valid_mean,prob_bridge_given_valid_median,prob_causal_given_bridge_mean,prob_causal_given_bridge_median,prob_valid_mean,prob_valid_median,step
0.12784995251661918,0.6391137499829571,0.6412444173255947,0.9930367678069989,1.0,0.4768258051739799,0.48068805038928986,2000
0.12784995251661918,0.5685278614828945,0.5558754287553793,0.9958493059299403,1.0,0.6002619932757484,0.6168321371078491,4000
0.12784995251661918,0.5390078688441323,0.5282210802071959,0.9967307357254772,1.0,0.6604492004050149,0.6795444190502167,6000
0.12784995251661918,0.5205597278140817,0.49861339993169007,0.9975781914346004,1.0,0.7133967043293847,0.735642284154892,8000
0.12784995251661918,0.490800999863459,0.44652228113995973,0.997801797666803,1.0,0.7330216484599643,0.7565255463123322,10000
0.12784995251661918,0.5114580255357248,0.4746518439759211,0.9979459553458991,1.0,0.7453849136829376,0.7708214223384857,12000
0.12784995251661918,0.5159962477226532,0.494132882237063,0.998152996021963,1.0,0.7618230672677359,0.7882875204086304,14000
0.12784995251661918,0.4895609528391326,0.4582163341456318,0.9982189801093815,1.0,0.7696481496095657,0.7973255813121796,16000
0.12784995251661918,0.5014828553365644,0.47887583333122363,0.9982317779234063,1.0,0.7692862085501353,0.7988532483577728,18000
0.12784995251661918,0.5165385270105569,0.5000776973515207,0.9982578381764617,1.0,0.7641346500979529,0.7934934198856354,20000
