avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step
5.74,2.9755555555555557,18,318,114,450,0.04,0.7066666666666667,0.25333333333333335,5000
5.528888888888889,2.6955555555555555,77,281,92,450,0.1711111111111111,0.6244444444444445,0.20444444444444446,10000
5.431111111111111,2.468888888888889,130,206,114,450,0.28888888888888886,0.4577777777777778,0.25333333333333335,15000
5.466666666666667,2.437777777777778,140,202,108,450,0.3111111111111111,0.4488888888888889,0.24,20000
5.866666666666666,2.6733333333333333,162,174,114,450,0.36,0.38666666666666666,0.25333333333333335,25000
5.713333333333333,2.5844444444444443,151,189,110,450,0.33555555555555555,0.42,0.24444444444444444,30000
5.924444444444444,2.6444444444444444,167,159,124,450,0.3711111111111111,0.35333333333333333,0.27555555555555555,35000
5.542222222222223,2.5044444444444443,156,199,95,450,0.3466666666666667,0.44222222222222224,0.2111111111111111,40000
5.611111111111111,2.462222222222222,158,177,115,450,0.3511111111111111,0.3933333333333333,0.25555555555555554,45000
5.7,2.5444444444444443,159,164,127,450,0.35333333333333333,0.36444444444444446,0.2822222222222222,50000
