pair_index,prob_bridge_after_src,prob_continue_after_target,prob_eos_after_bridge,prob_eos_after_prompt,prob_eos_after_src,prob_eos_after_target,prob_src_repeat,prob_target_after_bridge,prob_target_direct_after_src,source,step,target
0,0.00011569232447072864,1.430511474609375e-06,0.8213222026824951,3.175655933773669e-07,0.008131486363708973,0.9999985694885254,0.7881766557693481,4.157976945862174e-05,1.2572510058816988e-05,12,6000,67
1,0.009642522782087326,1.6689300537109375e-06,0.003127933479845524,0.001338582718744874,0.988807737827301,0.9999983310699463,0.5182487964630127,0.8921512365341187,6.610920877392346e-08,9,6000,60
2,0.0007057694019749761,3.993511199951172e-05,0.20141050219535828,1.5226127914047538e-08,0.020624244585633278,0.9999600648880005,0.9986531734466553,9.503660839982331e-05,9.99650001176633e-06,6,6000,88
3,0.9862073063850403,1.1563301086425781e-05,0.04107627272605896,9.99209071039786e-09,1.0004402611230034e-05,0.9999884366989136,0.8638945817947388,0.00012666312977671623,3.4666238661884563e-06,11,6000,68
4,0.12255861610174179,1.3113021850585938e-06,0.9936089515686035,3.8450279071788884e-10,0.7974644899368286,0.9999986886978149,0.8394988179206848,0.005253843031823635,0.0001211978669743985,21,6000,75
5,0.004725555889308453,4.291534423828125e-06,2.1324349575024826e-07,1.9149973695675726e-07,0.00014151111827231944,0.9999957084655762,0.5561220049858093,0.000344011903507635,7.101053597580176e-06,1,6000,67
6,0.817242443561554,4.887580871582031e-06,0.9876903295516968,6.7018365371041e-05,0.11433438211679459,0.9999951124191284,0.4205814599990845,2.0479149043239886e-07,0.000918232137337327,23,6000,74
7,0.5133774280548096,2.384185791015625e-07,3.3155490797298626e-08,2.728506531823882e-09,0.00038843011134304106,0.9999997615814209,0.9971350431442261,4.234022708260454e-05,6.403528095688671e-05,19,6000,87
8,0.010740735568106174,9.5367431640625e-07,0.9999499320983887,2.593017416074872e-05,0.9327650666236877,0.9999990463256836,0.38310039043426514,5.865121366355197e-08,1.4076259731155005e-06,5,6000,64
9,0.004526372998952866,2.0384788513183594e-05,1.837591753428569e-06,2.823320210154634e-05,0.4886739253997803,0.9999796152114868,0.37088075280189514,0.050657741725444794,1.3232660421635956e-05,26,6000,71
10,0.6619895100593567,2.384185791015625e-07,7.153028491302393e-06,8.047700816860015e-07,0.00011500477558001876,0.9999997615814209,0.27844807505607605,0.9991592168807983,2.895452325901715e-06,25,6000,70
11,0.0005812047747895122,1.0728836059570312e-06,5.5392636568285525e-05,0.00035836308961734176,0.9540225863456726,0.999998927116394,0.4648961126804352,0.00014351036224979907,7.435738780259271e-07,17,6000,69
12,0.9990128874778748,4.649162292480469e-06,0.0020316746085882187,5.898364574541404e-10,2.8899352400912903e-05,0.9999953508377075,0.993770182132721,0.0002521048591006547,3.5655079955176916e-07,20,6000,71
13,0.4095616936683655,1.0371208190917969e-05,9.436596155865118e-05,1.2977345420495112e-07,0.45135563611984253,0.9999896287918091,0.025530019775032997,0.13533495366573334,3.4933896131406073e-06,0,6000,69
14,0.005740408785641193,0.0001875758171081543,0.2892776429653168,3.189261769875884e-05,0.3014317750930786,0.9998124241828918,0.4054102301597595,0.6524924635887146,1.0853528692678083e-05,26,6000,65
15,0.05308062210679054,8.821487426757812e-06,0.2941097617149353,5.39939574082382e-05,0.14050312340259552,0.9999911785125732,0.16856658458709717,0.00012303557014092803,3.012993147422094e-05,2,6000,66
16,0.004761810880154371,4.1484832763671875e-05,0.9987165927886963,2.2885466023581102e-05,0.4651302397251129,0.9999585151672363,0.46622636914253235,9.082339715860144e-07,1.760166196618229e-05,26,6000,74
17,0.8990132808685303,1.7881393432617188e-06,0.9997084736824036,1.2124210080344255e-08,0.013679275289177895,0.9999982118606567,0.805317759513855,3.2253393555947696e-07,4.067028839926934e-06,23,6000,89
18,0.20391260087490082,3.540515899658203e-05,0.7225037217140198,3.039608742483324e-08,0.021204758435487747,0.9999645948410034,0.7899301052093506,0.00012799253454431891,5.544213126995601e-05,7,6000,84
19,0.9891521334648132,5.4836273193359375e-06,0.8799839615821838,7.095910525833915e-10,4.0840703263711475e-07,0.9999945163726807,0.9991377592086792,0.0049686431884765625,9.256400517188013e-05,20,6000,80
20,0.1322326362133026,2.384185791015625e-07,0.9997230172157288,1.595120563413488e-10,0.009100777097046375,0.9999997615814209,0.9943617582321167,6.73066040235426e-07,1.2966843314643484e-05,14,6000,79
21,0.00808212161064148,5.0067901611328125e-06,0.27958235144615173,2.689375378395198e-06,0.19430214166641235,0.9999949932098389,0.38834360241889954,9.138886525761336e-05,3.326935029690503e-07,26,6000,61
22,0.3592097759246826,1.1920928955078125e-07,0.006390522699803114,3.6664171148004243e-06,1.7072508740056946e-08,0.9999998807907104,0.9993200302124023,0.0013040046906098723,0.0013426245423033834,18,6000,85
23,0.9929167628288269,5.960464477539062e-07,5.137442713021301e-05,1.205550461236271e-06,0.005468639545142651,0.9999994039535522,0.3244556486606598,0.9986728429794312,3.497666284602019e-06,22,6000,70
24,8.297715976368636e-05,1.430511474609375e-06,0.09033207595348358,1.9981079901754129e-07,0.9994142055511475,0.9999985694885254,0.9776558876037598,1.2244607205502689e-05,1.219705847432806e-08,4,6000,68
25,0.9952816963195801,1.3113021850585938e-06,0.9752126932144165,1.5380950679766414e-10,1.8247447997055133e-07,0.9999986886978149,0.9959533214569092,8.755452654440887e-06,5.723540539293026e-07,20,6000,83
26,0.9648348093032837,1.633167266845703e-05,0.00010030687553808093,1.4815653059940814e-07,0.027418753132224083,0.9999836683273315,0.9988411068916321,0.0038221064023673534,9.308342669100966e-06,28,6000,71
27,0.8786655068397522,4.291534423828125e-06,0.9499514698982239,4.8865345547710604e-08,0.00028968078549951315,0.9999957084655762,0.7543190121650696,0.0002034989302046597,3.930411367036868e-06,27,6000,78
28,0.4029413163661957,8.344650268554688e-07,0.9625744223594666,1.849762183703252e-11,2.1871305762033444e-06,0.9999991655349731,0.9966962337493896,8.956312376540154e-05,7.648956852790434e-06,16,6000,82
29,0.9905513525009155,4.649162292480469e-06,0.0031190805602818727,1.2693381279405003e-07,0.008586982265114784,0.9999953508377075,0.9815577864646912,2.525567424527253e-06,2.4502646738255862e-06,29,6000,78
30,0.022307313978672028,1.1920928955078125e-07,0.04109687730669975,7.208350583098877e-10,2.4373868257043796e-08,0.9999998807907104,0.9956252574920654,0.007100124377757311,3.22223459079396e-05,2,6000,83
31,0.023366408422589302,3.814697265625e-06,6.338956382023753e-08,1.0457299956523336e-11,0.04108836501836777,0.9999961853027344,0.9936527013778687,6.103931809775531e-05,0.0001322593161603436,10,6000,78
32,0.162410169839859,1.2159347534179688e-05,0.9932435154914856,8.105556617010734e-07,1.5904204701655544e-05,0.9999878406524658,0.9993701577186584,4.2691900148383866e-07,0.0004828145320061594,19,6000,85
33,0.15188592672348022,1.430511474609375e-06,2.457624532326008e-06,1.9959556141202484e-07,0.2722596526145935,0.9999985694885254,0.5622424483299255,0.026107894256711006,0.0002598981373012066,14,6000,69
34,0.9754757881164551,1.430511474609375e-06,1.3929645774624078e-06,2.3022208551992662e-05,0.0036208948586136103,0.9999985694885254,0.88078773021698,0.0002984677266795188,6.385532287822571e-06,18,6000,68
35,0.6923047304153442,2.5272369384765625e-05,0.9989952445030212,1.011227490632649e-10,0.021876715123653412,0.9999747276306152,0.825463593006134,4.227579483995214e-05,0.00023479464289266616,0,6000,75
36,0.26473742723464966,5.4836273193359375e-06,0.4297902584075928,5.528017209144309e-05,0.1137690395116806,0.9999945163726807,0.43159952759742737,0.0001316286070505157,1.5597264564348734e-06,24,6000,66
37,0.5839720368385315,4.76837158203125e-07,0.05761787295341492,1.0819129619976664e-10,3.6328132409835234e-05,0.9999995231628418,0.9810478091239929,0.0003057850699406117,7.398351044685114e-06,13,6000,83
38,0.015976890921592712,7.3909759521484375e-06,0.9958840012550354,1.160711318726193e-10,0.02874012291431427,0.9999926090240479,0.9333351254463196,3.5429654872132232e-06,0.00018544940394349396,10,6000,71
39,0.7138927578926086,2.9802322387695312e-06,0.9013112187385559,3.3546751154744925e-08,0.24801523983478546,0.9999970197677612,0.6574099063873291,6.236415356397629e-05,0.0005093554500490427,9,6000,84
40,0.2297254502773285,1.1920928955078125e-07,0.00041569973109290004,0.0019853098783642054,0.7209270596504211,0.9999998807907104,0.8642634749412537,0.0007999925874173641,1.0820129318744875e-05,19,6000,72
41,0.9093753695487976,1.1920928955078125e-06,0.9981892704963684,4.668945408070613e-08,0.07285259664058685,0.9999988079071045,0.8036603927612305,0.0013273240765556693,5.0881185416074e-06,11,6000,61
42,0.20087581872940063,1.1324882507324219e-05,0.9999666213989258,1.017635042899201e-08,2.5659761604401865e-07,0.9999886751174927,0.9992590546607971,2.983247782140097e-08,5.972591679892503e-05,3,6000,82
43,0.049960579723119736,1.9669532775878906e-05,4.575491402647458e-05,5.244206402466034e-09,1.132325178332394e-05,0.9999803304672241,0.9992994070053101,0.0025835679844021797,8.876803804014344e-06,4,6000,86
44,0.4930407702922821,3.5762786865234375e-07,0.00016227533342316747,2.4380955920833003e-08,0.15020312368869781,0.9999996423721313,0.570216178894043,0.0013912874273955822,1.2377709026623052e-05,16,6000,70
45,0.002126714214682579,8.690357208251953e-05,0.9961590766906738,1.8292999059976722e-10,2.1962320850832384e-09,0.9999130964279175,0.9994235038757324,5.605219939752715e-06,3.954896601499058e-05,12,6000,77
46,0.26176968216896057,1.6689300537109375e-06,0.5287426114082336,1.704851364248139e-11,1.1677148137323456e-07,0.9999983310699463,0.9994470477104187,9.36911476401292e-07,2.216654502262827e-05,16,6000,81
47,0.05253300070762634,4.76837158203125e-07,0.9999483823776245,7.653283562447655e-10,1.3290238712215796e-05,0.9999995231628418,0.9995717406272888,8.500159509594596e-08,7.97353914094856e-06,4,6000,87
48,0.9866551160812378,1.7881393432617188e-06,0.0032015724573284388,4.497401562275627e-09,0.0055779642425477505,0.9999982118606567,0.9994398951530457,0.008510293439030647,0.00019940700440201908,28,6000,78
