chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.2,0,0.0009155160156884319,0.0,0.0005416228086687624,12,16000,5,5,12,67
0.1111111111111111,1,0.026708522825090227,1.0,0.015644770115613937,9,16000,9,9,16,60
0.16666666666666666,2,0.00016828069059751958,0.0,0.0008116887183859944,6,16000,6,6,15,88
0.1,3,0.0015258887135399123,1.0,0.0010744404280558228,11,16000,10,10,17,68
0.14285714285714285,4,0.0003592208314962443,0.0,0.0011120018316432834,21,16000,7,7,10,75
0.14285714285714285,5,0.0006285287334224992,0.0,0.0012297695502638817,1,16000,7,7,17,67
0.25,6,0.04357851236160593,1.0,0.00422263378277421,23,16000,4,4,8,74
0.1,7,0.00967621118976917,0.0,5.620367301162332e-05,19,16000,10,10,12,87
0.2,8,0.0012457174700556224,1.0,0.011286592110991478,5,16000,5,5,13,64
0.14285714285714285,9,0.0011979332682802637,1.0,0.17884844541549683,26,16000,7,7,8,71
0.125,10,0.13918711965032018,0.9996262123151831,0.040733613073825836,25,16000,8,6,10,70
0.16666666666666666,11,0.002318956241685109,1.0,0.02049020491540432,17,16000,6,6,10,69
0.1111111111111111,12,0.019051012074379373,1.0,6.713267066515982e-05,20,16000,9,9,11,71
0.1,13,0.0043941733260267,1.0,0.036229971796274185,0,16000,10,10,23,69
0.14285714285714285,14,0.0006433878562819855,1.0,0.04600124433636665,26,16000,7,7,8,65
0.07692307692307693,15,0.0012390321565050658,1.0,0.0077857207506895065,2,16000,13,13,21,66
0.14285714285714285,16,0.0013217788667111575,1.0,0.1118653267621994,26,16000,7,7,8,74
0.25,17,0.007126751255008278,1.0,0.0004840248147957027,23,16000,4,4,8,89
0.125,18,0.0004223071640218033,0.0,0.0021138652227818966,7,16000,8,8,15,84
0.1111111111111111,19,0.004159000057489996,0.0,2.634829615999479e-05,20,16000,9,9,11,80
0.1,20,0.004630911368414741,0.0,0.0001116404018830508,14,16000,10,10,12,79
0.14285714285714285,21,0.0012124319774361487,0.970933013030745,0.03553057834506035,26,16000,7,5,8,61
0.07692307692307693,22,0.06203060460563752,1.0,5.262245758785866e-05,18,16000,13,13,14,85
0.08333333333333333,23,0.000858328029216723,0.9920531133877696,0.01692510023713112,22,16000,12,10,13,70
0.1111111111111111,24,0.013903522890638207,1.0,0.00022896536393091083,4,16000,9,9,17,68
0.1111111111111111,25,0.008572491120642982,1.0,0.0002505552547518164,20,16000,9,9,11,83
0.1,26,1.0,1.0,1.5401268456116668e-06,28,16000,10,10,10,71
0.1,27,0.008633803284925115,1.0,0.01362103782594204,27,16000,10,10,11,78
0.1111111111111111,28,0.016857075137697436,0.0,4.397954398882575e-05,16,16000,9,9,12,82
0.14285714285714285,29,1.0,1.0,0.0003067966317757964,29,16000,7,7,7,78
0.07692307692307693,30,0.003042647721770483,0.0,0.00019838432490359992,2,16000,13,13,21,83
0.14285714285714285,31,0.00035889843084773235,0.0,0.00025371721130795777,10,16000,7,7,14,78
0.1,32,0.014270238256481412,0.0,2.2441176042775624e-05,19,16000,10,10,12,85
0.1,33,0.0116245277856117,0.9954473486663908,0.00217705057002604,14,16000,10,9,12,69
0.07692307692307693,34,0.0626570509499319,1.0,0.010569602251052856,18,16000,13,13,14,68
0.1,35,0.0037720208392796454,1.0,0.0015229845885187387,0,16000,10,10,23,75
0.1111111111111111,36,0.23690094138501575,1.0,0.005896442104130983,24,16000,9,9,10,66
0.16666666666666666,37,0.002524772951523355,1.0,0.0004021343484055251,13,16000,6,6,11,83
0.14285714285714285,38,0.00012314568143744829,0.0,0.0007846325752325356,10,16000,7,7,14,71
0.1111111111111111,39,0.0041707347378971155,1.0,0.00148536276537925,9,16000,9,9,16,84
0.1,40,0.17615687799748414,1.0,0.013440554961562157,19,16000,10,10,12,72
0.1,41,0.003911020585402083,0.0,0.00022924032236915082,11,16000,10,10,17,61
0.1,42,0.0007977311947938603,0.0,0.00014303343778010458,3,16000,10,10,18,82
0.1111111111111111,43,0.01254536241661829,1.0,8.65943802637048e-05,4,16000,9,9,17,86
0.1111111111111111,44,0.015413574756654575,0.9974797529160475,0.0007158468943089247,16,16000,9,7,12,70
0.2,45,0.005086985935578831,0.0,1.3211010809754953e-05,12,16000,5,5,12,77
0.1111111111111111,46,0.01828648181875796,0.0,1.0131669114343822e-05,16,16000,9,9,12,81
0.1111111111111111,47,0.004067040576448449,0.0,0.00012180423800600693,4,16000,9,9,17,87
0.1,48,0.0,0.0,6.343774998640583e-07,28,16000,10,10,10,78
0.14285714285714285,49,0.001031945934557198,1.0,0.2841152250766754,21,16000,7,7,10,63
0.1111111111111111,50,0.20488004644904695,1.0,0.001778471632860601,24,16000,9,9,10,64
0.14285714285714285,51,0.0006108168114234833,0.0,0.00013226205192040652,1,16000,7,7,17,79
0.16666666666666666,52,0.0027855558345247894,1.0,0.015180637128651142,8,16000,6,6,12,60
0.07692307692307693,53,0.024309878997104326,1.0,0.0004079417558386922,18,16000,13,13,14,84
0.1111111111111111,54,0.04308978935731392,1.0,0.012003800831735134,9,16000,9,9,16,67
0.25,55,0.06668043556955255,1.0,0.0027586373034864664,23,16000,4,4,8,81
0.16666666666666666,56,0.0002566117745603142,0.0,0.00043837528210133314,6,16000,6,6,15,78
0.1,57,0.017994934735518935,1.0,0.0013980830553919077,27,16000,10,10,11,80
0.1111111111111111,58,0.020993389387592116,1.0,0.015551822260022163,9,16000,9,9,16,69
0.1111111111111111,59,0.030394974791080148,0.0,4.5954720917507075e-06,16,16000,9,9,12,79
