avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
6.392592592592592,3.0814814814814815,8,25,102,135,0.05925925925925926,0.18518518518518517,0.7555555555555555,2000,s1s3
6.022222222222222,2.577777777777778,10,7,118,135,0.07407407407407407,0.05185185185185185,0.8740740740740741,4000,s1s3
6.281481481481482,2.903703703703704,9,7,119,135,0.06666666666666667,0.05185185185185185,0.8814814814814815,6000,s1s3
6.62962962962963,3.437037037037037,3,7,125,135,0.022222222222222223,0.05185185185185185,0.9259259259259259,8000,s1s3
6.688888888888889,3.4592592592592593,4,7,124,135,0.02962962962962963,0.05185185185185185,0.9185185185185185,10000,s1s3
6.888888888888889,3.8074074074074074,2,7,126,135,0.014814814814814815,0.05185185185185185,0.9333333333333333,12000,s1s3
7.118518518518519,3.8444444444444446,5,7,123,135,0.037037037037037035,0.05185185185185185,0.9111111111111111,14000,s1s3
6.503703703703704,3.5407407407407407,4,7,124,135,0.02962962962962963,0.05185185185185185,0.9185185185185185,16000,s1s3
6.518518518518518,3.6,4,7,124,135,0.02962962962962963,0.05185185185185185,0.9185185185185185,18000,s1s3
6.859259259259259,3.888888888888889,4,7,124,135,0.02962962962962963,0.05185185185185185,0.9185185185185185,20000,s1s3
