avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
28.266666666666666,0.9407407407407408,127,2.9649122807017543,3.0,0.9851851851851852,133,0.9548872180451128,0.9548872180451128,127,127,133,133,0.8976377952755905,114,127,0.8947368421052632,102,114,0.7555555555555555,0.2962962962962963,40,0.014814814814814815,2,0.014814814814814815,2,1.0,2.0708661417322833,2.0,127,0.2962962962962963,40,0.9851851851851852,133,0.9037037037037037,122,1.0,135,122,13,0.9037037037037037,0.0962962962962963,0.0,0,0.0962962962962963,13,0.8444444444444444,114,0.7555555555555555,102,2000,0.0,0.7555555555555555,102,102,0,0,s1s3,135,0.9407407407407408,127
28.266666666666666,0.9259259259259259,125,2.6186440677966103,2.0,0.9925925925925926,134,0.9328358208955224,0.9328358208955224,125,125,134,134,0.944,118,125,1.0,118,118,0.874074074074074,0.34814814814814815,47,0.007407407407407408,1,0.007407407407407408,1,1.0,2.032,2.0,125,0.34814814814814815,47,0.9925925925925926,134,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.8740740740740741,118,0.8740740740740741,118,4000,1.1102230246251565e-16,0.8740740740740741,118,118,0,0,s1s3,135,0.9259259259259259,125
28.266666666666666,0.9333333333333333,126,3.0245901639344264,3.0,0.9925925925925926,134,0.9402985074626866,0.9402985074626866,126,126,134,134,0.9682539682539683,122,126,0.9754098360655737,119,122,0.8814814814814814,0.362962962962963,49,0.007407407407407408,1,0.007407407407407408,1,1.0,2.0,2.0,126,0.362962962962963,49,0.9925925925925926,134,0.9703703703703703,131,1.0,135,131,4,0.9703703703703703,0.02962962962962963,0.0,0,0.02962962962962963,4,0.9037037037037037,122,0.8814814814814815,119,6000,1.1102230246251565e-16,0.8814814814814815,119,119,0,0,s1s3,135,0.9333333333333333,126
28.266666666666666,0.9777777777777777,132,3.344,3.0,1.0,135,0.9777777777777777,0.9777777777777777,132,132,135,135,0.946969696969697,125,132,1.0,125,125,0.9259259259259259,0.43703703703703706,59,0.0,0,0.0,0,1.0,1.871212121212121,2.0,132,0.43703703703703706,59,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9259259259259259,125,0.9259259259259259,125,8000,0.0,0.9259259259259259,125,125,0,0,s1s3,135,0.9777777777777777,132
28.266666666666666,0.9703703703703703,131,3.4206349206349205,3.0,1.0,135,0.9703703703703703,0.9703703703703703,131,131,135,135,0.9618320610687023,126,131,0.9841269841269841,124,126,0.9185185185185185,0.4444444444444444,60,0.0,0,0.0,0,1.0,1.8778625954198473,2.0,131,0.4444444444444444,60,1.0,135,0.9629629629629629,130,1.0,135,130,5,0.9629629629629629,0.037037037037037035,0.0,0,0.037037037037037035,5,0.9333333333333333,126,0.9185185185185185,124,10000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9703703703703703,131
28.266666666666666,0.9851851851851852,133,3.634920634920635,4.0,1.0,135,0.9851851851851852,0.9851851851851852,133,133,135,135,0.9473684210526315,126,133,1.0,126,126,0.9333333333333332,0.45925925925925926,62,0.0,0,0.0,0,1.0,1.8345864661654134,2.0,133,0.45925925925925926,62,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9333333333333333,126,0.9333333333333333,126,12000,1.1102230246251565e-16,0.9333333333333333,126,126,0,0,s1s3,135,0.9851851851851852,133
28.266666666666666,0.9629629629629629,130,3.707317073170732,4.0,1.0,135,0.9629629629629629,0.9629629629629629,130,130,135,135,0.9461538461538461,123,130,1.0,123,123,0.911111111111111,0.45185185185185184,61,0.0,0,0.0,0,1.0,1.823076923076923,2.0,130,0.45185185185185184,61,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9111111111111111,123,0.9111111111111111,123,14000,1.1102230246251565e-16,0.9111111111111111,123,123,0,0,s1s3,135,0.9629629629629629,130
28.266666666666666,0.9703703703703703,131,3.346774193548387,3.0,1.0,135,0.9703703703703703,0.9703703703703703,131,131,135,135,0.9465648854961832,124,131,1.0,124,124,0.9185185185185185,0.4740740740740741,64,0.0,0,0.0,0,1.0,1.786259541984733,2.0,131,0.4740740740740741,64,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9185185185185185,124,0.9185185185185185,124,16000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9703703703703703,131
28.266666666666666,0.9703703703703703,131,3.443548387096774,3.0,1.0,135,0.9703703703703703,0.9703703703703703,131,131,135,135,0.9465648854961832,124,131,1.0,124,124,0.9185185185185185,0.4740740740740741,64,0.0,0,0.0,0,1.0,1.7633587786259541,2.0,131,0.4740740740740741,64,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9185185185185185,124,0.9185185185185185,124,18000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9703703703703703,131
28.266666666666666,0.9703703703703703,131,3.774193548387097,4.0,1.0,135,0.9703703703703703,0.9703703703703703,131,131,135,135,0.9465648854961832,124,131,1.0,124,124,0.9185185185185185,0.48148148148148145,65,0.0,0,0.0,0,1.0,1.8091603053435115,2.0,131,0.48148148148148145,65,1.0,135,0.9481481481481482,128,1.0,135,128,7,0.9481481481481482,0.05185185185185185,0.0,0,0.05185185185185185,7,0.9185185185185185,124,0.9185185185185185,124,20000,0.0,0.9185185185185185,124,124,0,0,s1s3,135,0.9703703703703703,131
