avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
7.195555555555556,2.8466666666666667,7,35,12,48,348,450,0.015555555555555555,0.07777777777777778,0.02666666666666667,0.10666666666666667,0.7733333333333333,2000,s1s3
5.684444444444445,2.491111111111111,11,110,0,1,328,450,0.024444444444444446,0.24444444444444444,0,0.0022222222222222222,0.7288888888888889,4000,s1s3
5.366666666666666,2.5644444444444443,6,139,0,0,305,450,0.013333333333333334,0.3088888888888889,0,0,0.6777777777777778,6000,s1s3
5.188888888888889,2.482222222222222,2,166,0,0,282,450,0.0044444444444444444,0.3688888888888889,0,0,0.6266666666666667,8000,s1s3
5.042222222222223,2.1777777777777776,5,196,0,0,249,450,0.011111111111111112,0.43555555555555553,0,0,0.5533333333333333,10000,s1s3
5.004444444444444,2.2266666666666666,5,193,0,0,252,450,0.011111111111111112,0.4288888888888889,0,0,0.56,12000,s1s3
5.415555555555556,2.5,5,162,0,0,283,450,0.011111111111111112,0.36,0,0,0.6288888888888889,14000,s1s3
5.711111111111111,2.7955555555555556,5,142,0,0,303,450,0.011111111111111112,0.31555555555555553,0,0,0.6733333333333333,16000,s1s3
5.948888888888889,3.042222222222222,3,111,0,0,336,450,0.006666666666666667,0.24666666666666667,0,0,0.7466666666666667,18000,s1s3
6.482222222222222,3.486666666666667,2,76,0,0,372,450,0.0044444444444444444,0.1688888888888889,0,0,0.8266666666666667,20000,s1s3
