avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_INVALID_TOKEN,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_INVALID_TOKEN,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
11.02962962962963,1.614814814814815,8,25,17,25,10,50,135,0.05925925925925926,0.18518518518518517,0.1259259259259259,0.18518518518518517,0.07407407407407407,0.37037037037037035,2000,s1s3
13.622222222222222,1.6888888888888889,17,17,21,37,17,26,135,0.1259259259259259,0.1259259259259259,0.15555555555555556,0.2740740740740741,0.1259259259259259,0.1925925925925926,4000,s1s3
16.97037037037037,3.1481481481481484,20,2,28,55,15,15,135,0.14814814814814814,0.014814814814814815,0.2074074074074074,0.4074074074074074,0.1111111111111111,0.1111111111111111,6000,s1s3
20.103703703703705,2.7185185185185183,10,6,23,71,20,5,135,0.07407407407407407,0.044444444444444446,0.17037037037037037,0.5259259259259259,0.14814814814814814,0.037037037037037035,8000,s1s3
19.11111111111111,1.6814814814814816,6,11,27,66,18,7,135,0.044444444444444446,0.08148148148148149,0.2,0.4888888888888889,0.13333333333333333,0.05185185185185185,10000,s1s3
21.133333333333333,1.7481481481481482,5,6,31,77,16,0,135,0.037037037037037035,0.044444444444444446,0.22962962962962963,0.5703703703703704,0.11851851851851852,0.0,12000,s1s3
22.651851851851852,1.2740740740740741,2,9,30,84,10,0,135,0.014814814814814815,0.06666666666666667,0.2222222222222222,0.6222222222222222,0.07407407407407407,0.0,14000,s1s3
21.496296296296297,1.3777777777777778,7,3,32,78,15,0,135,0.05185185185185185,0.022222222222222223,0.23703703703703705,0.5777777777777777,0.1111111111111111,0.0,16000,s1s3
24.4,1.9333333333333333,4,9,29,91,2,0,135,0.02962962962962963,0.06666666666666667,0.21481481481481482,0.674074074074074,0.014814814814814815,0.0,18000,s1s3
19.955555555555556,2.4814814814814814,13,5,30,67,18,2,135,0.0962962962962963,0.037037037037037035,0.2222222222222222,0.4962962962962963,0.13333333333333333,0.014814814814814815,20000,s1s3
