avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
5.043010752688172,2.129032258064516,1,86,6,0,93,0.010752688172043012,0.9247311827956989,0.06451612903225806,0.0,5000,s1s2
4.956989247311828,2.010752688172043,3,85,5,0,93,0.03225806451612903,0.9139784946236559,0.053763440860215055,0.0,10000,s1s2
4.935483870967742,1.946236559139785,7,83,3,0,93,0.07526881720430108,0.8924731182795699,0.03225806451612903,0.0,15000,s1s2
5.204301075268817,2.172043010752688,15,74,4,0,93,0.16129032258064516,0.7956989247311828,0.043010752688172046,0.0,20000,s1s2
4.924731182795699,1.956989247311828,15,75,3,0,93,0.16129032258064516,0.8064516129032258,0.03225806451612903,0.0,25000,s1s2
4.978494623655914,2.0,19,70,4,0,93,0.20430107526881722,0.7526881720430108,0.043010752688172046,0.0,30000,s1s2
5.333333333333333,2.182795698924731,19,74,0,0,93,0.20430107526881722,0.7956989247311828,0,0.0,35000,s1s2
5.118279569892473,2.118279569892473,16,75,2,0,93,0.17204301075268819,0.8064516129032258,0.021505376344086023,0.0,40000,s1s2
5.064516129032258,2.096774193548387,13,79,1,0,93,0.13978494623655913,0.8494623655913979,0.010752688172043012,0.0,45000,s1s2
5.32258064516129,2.3010752688172045,16,75,2,0,93,0.17204301075268819,0.8064516129032258,0.021505376344086023,0.0,50000,s1s2
