decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_CLEAN_SUCCESS,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_CLEAN_SUCCESS,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.010869565217391304,1.0,92,1.0,92,0.03260869565217391,3,0.3333333333333333,1,0.967391304347826,89,0.0,0,0,89,1,0,2,0,0.967391304347826,0.010869565217391304,0,0.021739130434782608,0.010869565217391304,1,0.03260869565217391,3,0.0,0,5000,0.010869565217391304,1,s1s2,92
0.0,1.0,92,1.0,92,0.03260869565217391,3,0.0,0,0.967391304347826,89,0.0,0,0,89,0,0,3,0,0.967391304347826,0,0,0.03260869565217391,0.0,0,0.03260869565217391,3,0.0,0,10000,0.0,0,s1s2,92
0.0,0.9565217391304348,88,1.0,88,0.07954545454545454,7,0.0,0,0.9021739130434783,83,0.0,0,0,83,0,4,5,0,0.9021739130434783,0,0.043478260869565216,0.05434782608695652,0.0,0,0.09782608695652174,9,0.0,0,15000,0.0,0,s1s2,92
0.0,0.9347826086956522,86,1.0,86,0.023255813953488372,2,0.0,0,0.967391304347826,89,0.0,0,0,89,0,2,1,0,0.967391304347826,0,0.021739130434782608,0.010869565217391304,0.0,0,0.03260869565217391,3,0.0,0,20000,0.0,0,s1s2,92
0.0,0.9130434782608695,84,1.0,84,0.011904761904761904,1,0.0,0,0.967391304347826,89,0.0,0,0,89,0,2,1,0,0.967391304347826,0,0.021739130434782608,0.010869565217391304,0.0,0,0.03260869565217391,3,0.0,0,25000,0.0,0,s1s2,92
0.0,0.9130434782608695,84,1.0,84,0.03571428571428571,3,0.0,0,0.9565217391304348,88,0.0,0,1,88,0,0,3,0.010869565217391304,0.9565217391304348,0,0,0.03260869565217391,0.0,0,0.03260869565217391,3,0.0,0,30000,0.0,0,s1s2,92
0.0,0.9239130434782609,85,1.0,85,0.03529411764705882,3,0.0,0,0.9347826086956522,86,0.0,0,0,86,0,4,2,0,0.9347826086956522,0,0.043478260869565216,0.021739130434782608,0.0,0,0.06521739130434782,6,0.0,0,35000,0.0,0,s1s2,92
0.0,0.9565217391304348,88,1.0,88,0.03409090909090909,3,0.0,0,0.9565217391304348,88,0.0,0,1,88,0,0,3,0.010869565217391304,0.9565217391304348,0,0,0.03260869565217391,0.0,0,0.03260869565217391,3,0.0,0,40000,0.0,0,s1s2,92
0.0,0.967391304347826,89,1.0,89,0.011235955056179775,1,0.0,0,0.9782608695652174,90,0.0,0,1,90,0,0,1,0.010869565217391304,0.9782608695652174,0,0,0.010869565217391304,0.0,0,0.010869565217391304,1,0.0,0,45000,0.0,0,s1s2,92
0.0,0.9456521739130435,87,1.0,87,0.0,0,0.0,0,0.9782608695652174,90,0.0,0,1,90,0,1,0,0.010869565217391304,0.9782608695652174,0,0.010869565217391304,0,0.0,0,0.010869565217391304,1,0.0,0,50000,0.0,0,s1s2,92
