chance_level_mean,prob_bridge_given_valid_mean,prob_causal_given_bridge_mean,prob_valid_mean,step
0.9813515126848461,0.5097361909549959,0.9978760959442894,0.9156443528334299,5000
0.9813515126848461,0.44219470801109545,0.9994023803251388,0.8611357479790847,10000
0.9813515126848461,0.47781760553367963,0.9985729456642538,0.8495327246271902,15000
0.9813515126848461,0.4608727449098165,0.998799594939068,0.8617629143999269,20000
0.9813515126848461,0.43314686424989246,0.9997131284980355,0.8754467506659501,25000
0.9813515126848461,0.4828824513781974,0.9973282439052553,0.877303900356508,30000
0.9813515126848461,0.4853222218441984,0.9961292428402648,0.8672242177551379,35000
0.9813515126848461,0.4822595896079742,0.9917190184343436,0.8695133050078261,40000
0.9813515126848461,0.5160553658978458,0.9891194592280443,0.8688818690933597,45000
0.9813515126848461,0.49628796024874033,0.9844426932469045,0.8370188772059111,50000
