avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
29.31851851851852,0.8740740740740741,118,2.769230769230769,1.0,0.9185185185185185,124,0.9354838709677419,0.9354838709677419,116,116,124,124,0.4396551724137931,51,116,0.39215686274509803,20,51,0.1481481481481481,0.2518518518518518,34,0.007407407407407408,1,0.08148148148148149,11,1.0,2.3983050847457625,2.0,118,0.25925925925925924,35,0.9185185185185185,124,0.4148148148148148,56,1.0,135,24,13,32,3,63,0.17777777777777778,0.0962962962962963,0.23703703703703705,0.022222222222222223,0.4666666666666667,0.0,0,0.4888888888888889,66,0.3851851851851852,52,0.14814814814814814,20,2000,2.7755575615628914e-17,0.14814814814814814,20,20,0,0,s1s3,135,0.8740740740740741,118
29.31851851851852,0.9037037037037037,122,1.2391304347826086,1.0,0.8740740740740741,118,0.9745762711864406,0.9745762711864406,115,115,118,118,0.3565217391304348,41,115,0.4146341463414634,17,41,0.1259259259259259,0.3037037037037037,41,0.007407407407407408,1,0.1259259259259259,17,0.991869918699187,2.5365853658536586,2.0,122,0.32592592592592595,44,0.8740740740740741,118,0.37037037037037035,50,1.0,135,21,10,29,4,71,0.15555555555555556,0.07407407407407407,0.21481481481481482,0.02962962962962963,0.5259259259259259,0.0,0,0.5555555555555556,75,0.34074074074074073,46,0.1259259259259259,17,4000,0.0,0.1259259259259259,17,17,0,0,s1s3,135,0.9111111111111111,123
29.31851851851852,0.8740740740740741,118,1.2093023255813953,1.0,0.7851851851851852,106,0.9811320754716981,0.9811320754716981,104,104,106,106,0.28846153846153844,30,104,0.3333333333333333,10,30,0.07407407407407407,0.2740740740740741,37,0.014814814814814815,2,0.21481481481481482,29,1.0,2.6186440677966103,2.0,118,0.362962962962963,49,0.7851851851851852,106,0.34814814814814815,47,1.0,135,25,13,23,1,73,0.18518518518518517,0.0962962962962963,0.17037037037037037,0.007407407407407408,0.5407407407407407,0.0,0,0.5481481481481482,74,0.31851851851851853,43,0.07407407407407407,10,6000,0.0,0.07407407407407407,10,10,0,0,s1s3,135,0.8740740740740741,118
29.31851851851852,0.9555555555555556,129,1.54,1.0,0.8148148148148148,110,1.0,1.0,110,110,110,110,0.3090909090909091,34,110,0.3235294117647059,11,34,0.08148148148148147,0.2962962962962963,40,0.007407407407407408,1,0.18518518518518517,25,0.9923076923076923,2.7846153846153845,2.0,129,0.4,54,0.8148148148148148,110,0.3851851851851852,52,1.0,135,43,4,16,6,66,0.31851851851851853,0.02962962962962963,0.11851851851851852,0.044444444444444446,0.4888888888888889,0.0,0,0.5333333333333333,72,0.37037037037037035,50,0.08148148148148149,11,8000,1.3877787807814457e-17,0.08148148148148149,11,11,0,0,s1s3,135,0.9629629629629629,130
29.31851851851852,0.9407407407407408,127,1.4081632653061225,1.0,0.7925925925925926,107,0.9906542056074766,0.9906542056074766,106,106,107,107,0.3018867924528302,32,106,0.3125,10,32,0.07407407407407407,0.24444444444444444,33,0.014814814814814815,2,0.2074074074074074,28,1.0,3.9921259842519685,2.0,127,0.35555555555555557,48,0.7925925925925926,107,0.37777777777777777,51,1.0,135,36,6,20,14,59,0.26666666666666666,0.044444444444444446,0.14814814814814814,0.1037037037037037,0.43703703703703706,0.0,0,0.5407407407407407,73,0.362962962962963,49,0.07407407407407407,10,10000,0.0,0.07407407407407407,10,10,0,0,s1s3,135,0.9407407407407408,127
29.31851851851852,0.9555555555555556,129,1.2941176470588236,1.0,0.8,108,0.9907407407407407,0.9907407407407407,107,107,108,108,0.3177570093457944,34,107,0.058823529411764705,2,34,0.014814814814814814,0.3111111111111111,42,0.014814814814814815,2,0.2,27,1.0,3.488372093023256,2.0,129,0.4074074074074074,55,0.8,108,0.4074074074074074,55,1.0,135,51,1,9,4,70,0.37777777777777777,0.007407407407407408,0.06666666666666667,0.02962962962962963,0.5185185185185185,0.0,0,0.5481481481481482,74,0.37777777777777777,51,0.014814814814814815,2,12000,1.734723475976807e-18,0.014814814814814815,2,2,0,0,s1s3,135,0.9555555555555556,129
29.31851851851852,0.9407407407407408,127,1.56,1.0,0.762962962962963,103,0.9514563106796117,0.9514563106796117,98,98,103,103,0.29591836734693877,29,98,0.13793103448275862,4,29,0.02962962962962963,0.2222222222222222,30,0.007407407407407408,1,0.23703703703703705,32,1.0,4.448818897637795,3.0,127,0.35555555555555557,48,0.762962962962963,103,0.3851851851851852,52,1.0,135,57,0,11,24,43,0.4222222222222222,0,0.08148148148148149,0.17777777777777778,0.31851851851851853,0.0,0,0.4962962962962963,67,0.37037037037037035,50,0.02962962962962963,4,14000,0.0,0.02962962962962963,4,4,0,0,s1s3,135,0.9407407407407408,127
29.31851851851852,0.9851851851851852,133,2.152542372881356,1.0,0.7185185185185186,97,1.0,1.0,97,97,97,97,0.31958762886597936,31,97,0.03225806451612903,1,31,0.007407407407407407,0.2,27,0.022222222222222223,3,0.2814814814814815,38,1.0,5.7518796992481205,3.0,133,0.34814814814814815,47,0.7185185185185186,97,0.43703703703703706,59,1.0,135,67,2,7,20,39,0.4962962962962963,0.014814814814814815,0.05185185185185185,0.14814814814814814,0.28888888888888886,0.0,0,0.43703703703703706,59,0.43703703703703706,59,0.007407407407407408,1,16000,8.673617379884035e-19,0.007407407407407408,1,1,0,0,s1s3,135,0.9851851851851852,133
29.31851851851852,0.9925925925925926,134,1.6862745098039216,1.0,0.7777777777777778,105,1.0,1.0,105,105,105,105,0.24761904761904763,26,105,0.11538461538461539,3,26,0.022222222222222223,0.25925925925925924,35,0.022222222222222223,3,0.2222222222222222,30,1.0,3.2238805970149254,2.0,134,0.4074074074074074,55,0.7777777777777778,105,0.3925925925925926,53,1.0,135,43,0,11,5,76,0.31851851851851853,0,0.08148148148148149,0.037037037037037035,0.562962962962963,0.0,0,0.6,81,0.37777777777777777,51,0.022222222222222223,3,18000,0.0,0.022222222222222223,3,3,0,0,s1s3,135,0.9925925925925926,134
29.31851851851852,0.9851851851851852,133,1.5294117647058822,1.0,0.7185185185185186,97,1.0,1.0,97,97,97,97,0.25773195876288657,25,97,0.04,1,25,0.007407407407407407,0.2,27,0.022222222222222223,3,0.2814814814814815,38,1.0,5.654135338345864,4.0,133,0.32592592592592595,44,0.7185185185185186,97,0.3925925925925926,53,1.0,135,56,0,9,29,41,0.4148148148148148,0,0.06666666666666667,0.21481481481481482,0.3037037037037037,0.0,0,0.5185185185185185,70,0.37777777777777777,51,0.007407407407407408,1,20000,8.673617379884035e-19,0.007407407407407408,1,1,0,0,s1s3,135,0.9851851851851852,133
