chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.2,0,0.32722618094278383,1.0,0.4779573976993561,12,2000,5,5,12,67
0.1111111111111111,1,0.6372630060209714,1.0,0.5211892127990723,9,2000,9,9,16,60
0.16666666666666666,2,0.29070799306742107,1.0,0.38913458585739136,6,2000,6,6,15,88
0.1,3,0.5773493854167893,1.0,0.6028855443000793,11,2000,10,10,17,68
0.14285714285714285,4,0.5034951069630336,1.0,0.36994677782058716,21,2000,7,7,10,75
0.14285714285714285,5,0.3618035204684145,1.0,0.5280472040176392,1,2000,7,7,17,67
0.25,6,0.46109359878575495,1.0,0.4633693993091583,23,2000,4,4,8,74
0.1,7,0.866270888685692,1.0,0.5404525399208069,19,2000,10,10,12,87
0.2,8,0.20835782365399044,1.0,0.4707382917404175,5,2000,5,5,13,64
0.14285714285714285,9,0.7262395943128868,1.0,0.3980194628238678,26,2000,7,7,8,71
0.125,10,0.7420456326495491,0.9417678114645712,0.6248288750648499,25,2000,8,6,10,70
0.16666666666666666,11,0.4221444278074228,1.0,0.47931891679763794,17,2000,6,6,10,69
0.1111111111111111,12,0.9304379605784742,1.0,0.4281978905200958,20,2000,9,9,11,71
0.1,13,0.41601508955146715,1.0,0.5107112526893616,0,2000,10,10,23,69
0.14285714285714285,14,0.8327914581356074,1.0,0.44865942001342773,26,2000,7,7,8,65
0.07692307692307693,15,0.5523280199585808,1.0,0.6049525141716003,2,2000,13,13,21,66
0.14285714285714285,16,0.7755333961476917,1.0,0.37921270728111267,26,2000,7,7,8,74
0.25,17,0.5078912734938669,1.0,0.4042567014694214,23,2000,4,4,8,89
0.125,18,0.4511571787445734,1.0,0.5419682264328003,7,2000,8,8,15,84
0.1111111111111111,19,0.8677383156266762,1.0,0.3001861870288849,20,2000,9,9,11,80
0.1,20,0.88780877352164,1.0,0.33539053797721863,14,2000,10,10,12,79
0.14285714285714285,21,0.71177504148577,0.8746815366182681,0.4273969531059265,26,2000,7,5,8,61
0.07692307692307693,22,0.9216961108822022,1.0,0.4765782654285431,18,2000,13,13,14,85
0.08333333333333333,23,0.8234927139061952,0.9497577657923736,0.5687564611434937,22,2000,12,10,13,70
0.1111111111111111,24,0.5381181155852465,1.0,0.5304809808731079,4,2000,9,9,17,68
0.1111111111111111,25,0.7979330687229821,1.0,0.33669525384902954,20,2000,9,9,11,83
0.1,26,1.0,1.0,0.44255954027175903,28,2000,10,10,10,71
0.1,27,0.8468514809238588,1.0,0.5291482210159302,27,2000,10,10,11,78
