avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
7.622222222222222,4.666666666666667,3,110,22,135,0.022222222222222223,0.8148148148148148,0.16296296296296298,5000,s1s3
6.696296296296296,3.585185185185185,10,91,34,135,0.07407407407407407,0.674074074074074,0.2518518518518518,10000,s1s3
6.303703703703704,3.1481481481481484,25,72,38,135,0.18518518518518517,0.5333333333333333,0.2814814814814815,15000,s1s3
6.355555555555555,3.051851851851852,23,72,40,135,0.17037037037037037,0.5333333333333333,0.2962962962962963,20000,s1s3
5.933333333333334,2.9925925925925925,27,82,26,135,0.2,0.6074074074074074,0.1925925925925926,25000,s1s3
5.488888888888889,2.5703703703703704,30,85,20,135,0.2222222222222222,0.6296296296296297,0.14814814814814814,30000,s1s3
5.511111111111111,2.6814814814814816,29,77,29,135,0.21481481481481482,0.5703703703703704,0.21481481481481482,35000,s1s3
5.762962962962963,2.7777777777777777,30,69,36,135,0.2222222222222222,0.5111111111111111,0.26666666666666666,40000,s1s3
6.222222222222222,3.140740740740741,32,59,44,135,0.23703703703703705,0.43703703703703706,0.32592592592592595,45000,s1s3
6.148148148148148,3.0074074074074075,26,72,37,135,0.1925925925925926,0.5333333333333333,0.2740740740740741,50000,s1s3
