avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SUCCESS,step,task_type
6.237777777777778,3.3066666666666666,1,372,0,77,450,0.0022222222222222222,0.8266666666666667,0,0.1711111111111111,5000,s1s3
6.546666666666667,3.3133333333333335,38,300,0,112,450,0.08444444444444445,0.6666666666666666,0,0.24888888888888888,10000,s1s3
5.988888888888889,2.7244444444444444,76,264,0,110,450,0.1688888888888889,0.5866666666666667,0,0.24444444444444444,15000,s1s3
5.86,2.548888888888889,104,225,1,120,450,0.2311111111111111,0.5,0.0022222222222222222,0.26666666666666666,20000,s1s3
5.8822222222222225,2.6644444444444444,83,227,0,140,450,0.18444444444444444,0.5044444444444445,0,0.3111111111111111,25000,s1s3
5.7,2.562222222222222,106,213,0,131,450,0.23555555555555555,0.47333333333333333,0,0.2911111111111111,30000,s1s3
5.7,2.533333333333333,119,205,0,126,450,0.2644444444444444,0.45555555555555555,0,0.28,35000,s1s3
5.78,2.6244444444444444,125,195,2,128,450,0.2777777777777778,0.43333333333333335,0.0044444444444444444,0.28444444444444444,40000,s1s3
5.5311111111111115,2.437777777777778,135,208,1,106,450,0.3,0.4622222222222222,0.0022222222222222222,0.23555555555555555,45000,s1s3
5.526666666666666,2.568888888888889,134,195,0,121,450,0.29777777777777775,0.43333333333333335,0,0.2688888888888889,50000,s1s3
