avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.9977777777777778,449,4.566929133858268,5.0,0.9977777777777778,449,1.0,1.0,449,449,449,449,0.2828507795100223,127,449,0.6062992125984252,77,127,0.17111111111111116,0.23333333333333334,105,0.0,0,0.0022222222222222222,1,1.0,2.2783964365256124,2.0,449,0.23333333333333334,105,0.9977777777777778,449,0.2822222222222222,127,1.0,450,0,1,127,1,321,0,0.0022222222222222222,0.2822222222222222,0.0022222222222222222,0.7133333333333334,0.0,0,0.7155555555555555,322,0.2822222222222222,127,0.1711111111111111,77,5000,-5.551115123125783e-17,0.1711111111111111,77,77,0,0,s1s3,450,0.9977777777777778,449
27.406666666666666,0.9622222222222222,433,3.8299319727891157,4.0,0.9622222222222222,433,0.9953810623556582,0.9953810623556582,431,431,433,433,0.33874709976798145,146,431,0.7671232876712328,112,146,0.24888888888888885,0.22444444444444445,101,0.0022222222222222222,1,0.03777777777777778,17,1.0,2.30715935334873,2.0,433,0.22666666666666666,102,0.9622222222222222,433,0.35333333333333333,159,1.0,450,0,7,159,19,265,0,0.015555555555555555,0.35333333333333333,0.042222222222222223,0.5888888888888889,0.0,0,0.6311111111111111,284,0.32666666666666666,147,0.24888888888888888,112,10000,2.7755575615628914e-17,0.24888888888888888,112,112,0,0,s1s3,450,0.9622222222222222,433
27.406666666666666,0.9111111111111111,410,3.3076923076923075,3.0,0.9177777777777778,413,0.9782082324455206,0.9782082324455206,404,404,413,413,0.38366336633663367,155,404,0.7096774193548387,110,155,0.24444444444444446,0.26222222222222225,118,0.008888888888888889,4,0.08222222222222222,37,1.0,2.2853658536585364,2.0,410,0.26222222222222225,118,0.9177777777777778,413,0.4311111111111111,194,1.0,450,0,3,194,33,220,0,0.006666666666666667,0.4311111111111111,0.07333333333333333,0.4888888888888889,0.0,0,0.5622222222222222,253,0.3466666666666667,156,0.24444444444444444,110,15000,-2.7755575615628914e-17,0.24444444444444444,110,110,0,0,s1s3,450,0.9111111111111111,410
27.406666666666666,0.8577777777777778,386,3.129032258064516,3.0,0.8577777777777778,386,0.9766839378238342,0.9766839378238342,377,377,386,386,0.3978779840848806,150,377,0.8,120,150,0.26666666666666666,0.2822222222222222,127,0.017777777777777778,8,0.14222222222222222,64,1.0,2.1424870466321244,2.0,386,0.2911111111111111,131,0.8577777777777778,386,0.4777777777777778,215,1.0,450,1,4,214,35,196,0.0022222222222222222,0.008888888888888889,0.47555555555555556,0.07777777777777778,0.43555555555555553,0.0,0,0.5133333333333333,231,0.34444444444444444,155,0.26666666666666666,120,20000,0.0,0.26666666666666666,120,120,0,0,s1s3,450,0.8577777777777778,386
27.406666666666666,0.9088888888888889,409,3.028735632183908,3.0,0.8844444444444445,398,0.992462311557789,0.992462311557789,395,395,398,398,0.4278481012658228,169,395,0.8284023668639053,140,169,0.3111111111111111,0.3422222222222222,154,0.008888888888888889,4,0.11555555555555555,52,0.9975550122249389,2.0831295843520783,2.0,408,0.36,162,0.8844444444444445,398,0.4577777777777778,206,1.0,450,0,9,206,38,197,0,0.02,0.4577777777777778,0.08444444444444445,0.43777777777777777,0.0,0,0.5222222222222223,235,0.38666666666666666,174,0.3111111111111111,140,25000,0.0,0.3111111111111111,140,140,0,0,s1s3,450,0.9088888888888889,409
27.406666666666666,0.8911111111111111,401,3.0056818181818183,3.0,0.86,387,0.9844961240310077,0.9844961240310077,381,381,387,387,0.4409448818897638,168,381,0.7797619047619048,131,168,0.29111111111111115,0.37555555555555553,169,0.011111111111111112,5,0.14,63,1.0,2.024937655860349,2.0,401,0.4,180,0.86,387,0.4888888888888889,220,1.0,450,0,7,220,43,180,0,0.015555555555555555,0.4888888888888889,0.09555555555555556,0.4,0.0,0,0.4955555555555556,223,0.39111111111111113,176,0.2911111111111111,131,30000,-5.551115123125783e-17,0.2911111111111111,131,131,0,0,s1s3,450,0.8911111111111111,401
27.406666666666666,0.8866666666666667,399,2.838709677419355,3.0,0.8333333333333334,375,0.984,0.984,369,369,375,375,0.4634146341463415,171,369,0.7368421052631579,126,171,0.28,0.3977777777777778,179,0.02,9,0.16666666666666666,75,1.0,1.8571428571428572,2.0,399,0.44222222222222224,199,0.8333333333333334,375,0.5133333333333333,231,1.0,450,0,10,230,48,162,0,0.022222222222222223,0.5111111111111111,0.10666666666666667,0.36,0.0,0,0.4666666666666667,210,0.41333333333333333,186,0.28,126,35000,0.0,0.28,126,126,0,0,s1s3,450,0.8866666666666667,399
27.406666666666666,0.8711111111111111,392,3.0742857142857143,3.0,0.82,369,0.991869918699187,0.991869918699187,366,366,369,369,0.44808743169398907,164,366,0.7804878048780488,128,164,0.28444444444444444,0.4288888888888889,193,0.024444444444444446,11,0.18,81,1.0,1.808673469387755,1.0,392,0.4622222222222222,208,0.82,369,0.4911111111111111,221,1.0,450,2,12,221,61,154,0.0044444444444444444,0.02666666666666667,0.4911111111111111,0.13555555555555557,0.3422222222222222,0.0,0,0.4777777777777778,215,0.3888888888888889,175,0.28444444444444444,128,40000,0.0,0.28444444444444444,128,128,0,0,s1s3,450,0.8711111111111111,392
27.406666666666666,0.8577777777777778,386,2.993827160493827,3.0,0.8066666666666666,363,0.9917355371900827,0.9917355371900827,360,360,363,363,0.4166666666666667,150,360,0.7066666666666667,106,150,0.23555555555555557,0.41333333333333333,186,0.02,9,0.19333333333333333,87,1.0,1.854922279792746,1.0,386,0.4488888888888889,202,0.8066666666666666,363,0.4688888888888889,211,1.0,450,1,18,211,58,162,0.0022222222222222222,0.04,0.4688888888888889,0.1288888888888889,0.36,0.0,0,0.4888888888888889,220,0.36,162,0.23555555555555555,106,45000,-2.7755575615628914e-17,0.23555555555555555,106,106,0,0,s1s3,450,0.8577777777777778,386
27.406666666666666,0.8711111111111111,392,2.9889502762430937,3.0,0.82,369,0.989159891598916,0.989159891598916,365,365,369,369,0.4575342465753425,167,365,0.7245508982035929,121,167,0.2688888888888889,0.44,198,0.024444444444444446,11,0.18,81,1.0,1.8137755102040816,1.0,392,0.4711111111111111,212,0.82,369,0.5111111111111111,230,1.0,450,0,11,229,60,150,0,0.024444444444444446,0.5088888888888888,0.13333333333333333,0.3333333333333333,0.0,0,0.4666666666666667,210,0.4022222222222222,181,0.2688888888888889,121,50000,0.0,0.2688888888888889,121,121,0,0,s1s3,450,0.8711111111111111,392
