pair_index,prob_bridge_after_src,prob_continue_after_target,prob_eos_after_bridge,prob_eos_after_prompt,prob_eos_after_src,prob_eos_after_target,prob_src_repeat,prob_target_after_bridge,prob_target_direct_after_src,source,step,target
0,0.224465012550354,0.0,1.530133908467235e-09,2.128084553021381e-08,6.362075311017179e-10,1.0,3.626607636419976e-08,1.4738660595800535e-13,1.0599834610047765e-07,12,50000,67
1,2.158158167731017e-05,2.384185791015625e-07,0.999259889125824,8.487426039760493e-11,2.8707428101348853e-10,0.9999997615814209,1.8212427121966357e-08,1.7171991828490718e-08,4.0540230135562016e-13,9,50000,60
2,2.830014273058623e-05,0.0,4.818112055160473e-12,1.061496095644543e-05,3.8833999904674954e-10,1.0,5.090146714792354e-06,0.0002739279007073492,1.2022774269204728e-11,6,50000,88
3,0.12362190335988998,0.0,6.823081596246672e-13,7.241664690127436e-08,4.740709513839647e-08,1.0,2.1905066205363255e-07,7.575662763770197e-09,2.2507610708544235e-07,11,50000,68
4,0.8069226145744324,0.0,0.2022085189819336,8.699205245044084e-11,3.054390291037934e-12,1.0,0.0011402108939364552,2.070405535903319e-08,5.524460902961437e-06,21,50000,75
5,0.8515501618385315,1.430511474609375e-06,0.0005397957866080105,3.7502569938396846e-08,5.295406779737277e-08,0.9999985694885254,3.997608655481599e-05,5.327988716885557e-09,4.471665704386396e-08,1,50000,67
6,0.9844627380371094,0.0,0.4834752678871155,8.40277334646089e-06,7.055146511447674e-07,1.0,3.605623438707184e-11,3.2405500622435324e-15,1.8644096044795333e-08,23,50000,74
7,0.359049916267395,0.0,1.4571372730642906e-06,2.6577479275147198e-06,1.735708536898528e-07,1.0,5.329253704999815e-10,0.014516545459628105,0.0002059801045106724,19,50000,87
8,0.003809521207585931,4.76837158203125e-06,0.002943234285339713,7.138763469249909e-10,3.038099384866655e-05,0.999995231628418,2.9366286980803125e-05,1.1148729162080429e-10,7.1230719100867645e-09,5,50000,64
9,0.6334171295166016,0.0,2.3826055794984313e-08,0.000920199032407254,1.0277337878505932e-06,1.0,0.036682598292827606,0.638550341129303,3.35839089871115e-08,26,50000,71
10,0.4851801097393036,0.0,6.018086961927238e-13,3.1999698572350577e-14,1.1998147158957806e-14,1.0,1.51129810888051e-08,0.9999953508377075,1.3646896113161944e-13,25,50000,70
11,0.0016108837444335222,0.0,0.9999265670776367,4.774830131282215e-08,1.7182538725180052e-09,1.0,1.2518240567402361e-12,1.1299933402327915e-20,1.3498806517020512e-08,17,50000,69
12,0.9906360507011414,0.0,6.200162374625506e-07,9.237507470061246e-08,1.324585667816791e-07,1.0,1.3388770092603863e-09,1.902507231615891e-12,6.786383260903861e-11,20,50000,71
13,0.021513115614652634,0.0,0.9993158578872681,6.785078454640825e-08,2.2910594862229905e-12,1.0,0.0003604755620472133,7.833229406100945e-15,2.799314131607389e-07,0,50000,69
14,0.26457247138023376,4.76837158203125e-07,6.440462829715443e-09,0.052341531962156296,0.00012422731379047036,0.9999995231628418,4.911224550596671e-06,0.0025281927082687616,1.9122288474893168e-10,26,50000,65
