chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.1,125,0.8313615161655142,1.0,0.8999664783477783,19,5000,10,10,12,79
0.2,126,0.08855146944964662,1.0,0.9180423617362976,5,5000,5,5,13,71
0.16666666666666666,127,0.5666237809626518,1.0,0.9037723541259766,13,5000,6,6,11,88
0.1111111111111111,128,0.2818211760072704,0.9939872588030042,0.9450288414955139,15,5000,9,7,15,62
0.14285714285714285,129,0.05324457145172424,1.0,0.9297270178794861,1,5000,7,7,17,77
0.16666666666666666,130,0.687265853488696,1.0,0.8217239379882812,17,5000,6,6,10,87
0.16666666666666666,131,0.5061966089512745,1.0,0.9540086388587952,13,5000,6,6,11,79
0.1,132,1.0,1.0,0.9644582271575928,28,5000,10,10,10,66
0.16666666666666666,133,0.22904714647330884,0.9888373805027227,0.9455963373184204,8,5000,6,5,12,70
0.1,134,0.8630997805761953,1.0,0.9832612872123718,27,5000,10,10,11,64
0.16666666666666666,135,0.047621805584127444,1.0,0.9439734220504761,6,5000,6,6,15,77
0.16666666666666666,136,0.2984071351553832,1.0,0.8917095065116882,17,5000,6,6,10,60
0.07692307692307693,137,0.8980963765256063,0.9993994306686151,0.9547897577285767,18,5000,13,12,14,63
0.1111111111111111,138,0.7582363885359356,1.0,0.9720577001571655,24,5000,9,9,10,73
0.16666666666666666,139,0.32681184718151207,1.0,0.9209332466125488,17,5000,6,6,10,75
0.14285714285714285,140,0.042109220606265436,1.0,0.9890275001525879,10,5000,7,7,14,70
0.16666666666666666,141,0.01861848876846317,1.0,0.9722347259521484,6,5000,6,6,15,76
0.1,142,1.0,1.0,0.938764750957489,28,5000,10,10,10,85
0.16666666666666666,143,0.33758678256155633,1.0,0.9191897511482239,17,5000,6,6,10,62
0.1111111111111111,144,0.839941772993851,0.9975328884853577,0.980174720287323,20,5000,9,7,11,61
0.16666666666666666,145,0.35609033689215974,1.0,0.8785316944122314,17,5000,6,6,10,88
0.1111111111111111,146,0.949200970049745,1.0,0.8677745461463928,16,5000,9,9,12,75
0.16666666666666666,147,0.09006650205510269,1.0,0.9496967196464539,6,5000,6,6,15,68
0.16666666666666666,148,0.3266346727350509,1.0,0.865921676158905,8,5000,6,6,12,78
0.1111111111111111,149,0.10245323290282476,1.0,0.973832368850708,4,5000,9,9,17,67
0.14285714285714285,150,0.5205696295955539,1.0,0.9186423420906067,1,5000,7,7,17,85
0.16666666666666666,151,0.7258103581809118,1.0,0.8989648222923279,13,5000,6,6,11,61
0.2,152,0.19231451495406984,1.0,0.6930233240127563,12,5000,5,5,12,89
0.1111111111111111,153,0.3428126128396925,1.0,0.8063670992851257,9,5000,9,9,16,68
0.1111111111111111,154,0.7803631729091353,1.0,0.9807993173599243,24,5000,9,9,10,76
0.1111111111111111,155,0.9904394602237259,1.0,0.9405094385147095,24,5000,9,9,10,87
0.1111111111111111,156,0.8218805839325917,0.9979480129354056,0.9691609144210815,20,5000,9,8,11,73
0.08333333333333333,157,0.8885043354368166,1.0,0.9383520483970642,22,5000,12,12,13,83
0.1,158,0.6208016401285968,1.0,0.9221423864364624,19,5000,10,10,12,64
0.1,159,0.6309381990517191,1.0,0.8470278382301331,14,5000,10,10,12,81
0.08333333333333333,160,0.581358899567073,1.0,0.9706318378448486,22,5000,12,12,13,80
0.08333333333333333,161,0.7180999141098431,1.0,0.9616253972053528,22,5000,12,12,13,84
0.14285714285714285,162,0.01569523582117129,1.0,0.9923206567764282,10,5000,7,7,14,64
0.1111111111111111,163,0.8761266323484332,1.0,0.962106466293335,16,5000,9,9,12,83
0.16666666666666666,164,0.05976596941624624,1.0,0.9292505979537964,6,5000,6,6,15,69
0.125,165,0.633747295466392,1.0,0.9588250517845154,25,5000,8,8,10,73
0.1111111111111111,166,0.8589178335262183,1.0,0.9466207027435303,20,5000,9,9,11,79
0.1,167,0.24465454007162415,1.0,0.9522709250450134,11,5000,10,10,17,66
0.14285714285714285,168,0.04318503972362207,1.0,0.9717282056808472,10,5000,7,7,14,77
0.1111111111111111,169,0.7386971682532805,1.0,0.9750630259513855,20,5000,9,9,11,67
0.1,170,0.9117941087496084,0.9980261768755797,0.6752268671989441,0,5000,10,9,23,62
0.07692307692307693,171,0.48959117247495654,0.9982255917319957,0.9021987318992615,2,5000,13,12,21,61
0.07692307692307693,172,0.980676786069393,1.0,0.9420563578605652,18,5000,13,13,14,77
0.16666666666666666,173,0.7663133160932004,1.0,0.8646525144577026,13,5000,6,6,11,87
