pair_index,prob_bridge_after_src,prob_continue_after_target,prob_eos_after_bridge,prob_eos_after_prompt,prob_eos_after_src,prob_eos_after_target,prob_src_repeat,prob_target_after_bridge,prob_target_direct_after_src,source,step,target
0,0.009445594623684883,3.5762786865234375e-07,3.303358084849606e-07,2.719414249341412e-09,7.265037460513213e-10,0.9999996423721313,4.675087694749891e-08,1.3422260265044672e-13,1.0237365444254465e-07,12,45000,67
1,0.00010770288645289838,2.0265579223632812e-06,0.998658299446106,2.3376658941920425e-10,8.956937969095691e-10,0.9999979734420776,9.521668431489161e-08,2.2031798607713426e-08,1.2640977674338583e-12,9,45000,60
2,1.339958657808893e-06,0.0,6.377013500591389e-12,1.1395028195693158e-05,1.647652153602408e-10,1.0,4.4114758566138335e-06,0.00027233571745455265,4.316146832300527e-12,6,45000,88
3,0.837909996509552,0.0,8.627158543106361e-09,4.998539111511491e-07,2.680158672774269e-07,1.0,1.0170787163588102e-06,7.503783705509193e-10,7.988111292434041e-07,11,45000,68
4,0.9433212280273438,0.0,0.014142919331789017,5.669296143651081e-10,2.1320075913044967e-11,1.0,7.989940786501393e-05,3.291347638878506e-08,3.991141784354113e-05,21,45000,75
5,0.9914536476135254,4.887580871582031e-06,0.006057041231542826,1.5599569636037813e-08,1.941625704660055e-08,0.9999951124191284,5.950407739874208e-06,3.779609514253934e-09,1.0890577328837026e-08,1,45000,67
6,0.9728420376777649,0.0,0.9946237802505493,1.2029912795696873e-05,6.30972726867185e-06,1.0,4.793786895218588e-12,4.839872568744661e-15,6.804351926348318e-08,23,45000,74
7,0.41230204701423645,0.0,2.8223416492778597e-08,4.663239815272391e-05,6.689152996841585e-06,1.0,2.002278121082668e-09,0.32113775610923767,0.0008616797858849168,19,45000,87
8,0.005726553034037352,4.76837158203125e-07,0.5960741639137268,3.6182604135071017e-10,1.6629594028927386e-05,0.9999995231628418,4.202408672426827e-05,5.323557150660463e-10,5.3288772505766246e-08,5,45000,64
9,0.5542495250701904,0.0,2.6866450397733388e-08,0.0012278672074899077,3.5314901651872788e-06,1.0,0.0020712169352918863,0.6905472278594971,1.2684546391028562e-07,26,45000,71
10,0.004063882399350405,0.0,2.007559266395398e-12,1.7897989134599973e-13,1.2892530094996569e-14,1.0,8.639701398749366e-09,0.9999996423721313,4.931609455657501e-14,25,45000,70
11,0.0024233406875282526,1.1920928955078125e-07,0.9992062449455261,1.0411704387536247e-08,3.112603863542063e-08,0.9999998807907104,1.0067867373120265e-10,9.454909320775071e-18,1.3781648711130856e-08,17,45000,69
12,0.9920896291732788,0.0,6.785695063626918e-07,1.152788399849669e-06,1.4876837894917117e-07,1.0,4.4211592609144645e-08,9.907808080911185e-13,4.018161237767659e-12,20,45000,71
13,0.021988412365317345,2.384185791015625e-07,0.9984246492385864,1.8035143156680533e-08,2.6835758008131316e-12,0.9999997615814209,0.0003062321920879185,1.1139305217166065e-13,3.779034045692242e-07,0,45000,69
14,0.6505213379859924,2.5033950805664062e-06,1.551031303392847e-08,0.006735479459166527,0.0001246488536708057,0.9999974966049194,1.1506764394653146e-06,0.0032006583642214537,5.195240071476093e-11,26,45000,65
15,0.05576755851507187,0.0,4.3041809476562776e-06,3.6929421008008185e-15,1.5092884363919332e-16,1.0,5.938513014669411e-10,0.9959028363227844,5.4756863931970656e-08,2,45000,66
16,0.42650043964385986,2.384185791015625e-07,0.9996335506439209,0.0007620756514370441,2.3759019640579027e-08,0.9999997615814209,5.577649972110521e-06,4.696150759930795e-11,6.023897150547611e-15,26,45000,74
17,0.6255253553390503,0.0,0.9952693581581116,1.0574247255590308e-08,1.6598024785707821e-06,1.0,2.9689085391526593e-12,1.635954011147689e-10,1.592694587326804e-10,23,45000,89
18,0.006621215958148241,0.0004221796989440918,0.9928029179573059,1.1814265832299498e-07,1.0871393195388546e-11,0.9995778203010559,0.003959826659411192,3.523762531765229e-11,1.6992225335132893e-11,7,45000,84
19,0.38889607787132263,1.1920928955078125e-07,0.998100221157074,2.3507313073878322e-07,2.498411255658084e-08,0.9999998807907104,1.0775566749998688e-07,1.615479833239064e-10,0.41507378220558167,20,45000,80
20,0.2301517277956009,5.125999450683594e-06,0.999579131603241,4.995844182786868e-09,2.673058574487186e-08,0.9999948740005493,0.004371147137135267,1.0298391117657957e-07,3.341340745754984e-11,14,45000,79
21,0.7087661623954773,1.3232231140136719e-05,0.0017144064186140895,0.0007837017765268683,1.196893663291121e-06,0.9999867677688599,3.3425593022606837e-12,3.622927522428654e-07,3.1180135806607723e-07,26,45000,61
22,0.9951215982437134,0.0,4.192966298433021e-05,1.198626264908853e-08,7.107442412390697e-11,1.0,3.8303197419375934e-11,8.433862603851594e-06,1.1396166128829766e-12,18,45000,85
23,0.988391101360321,0.0,3.984136354162615e-10,2.8334574270205692e-11,1.485150613600439e-10,1.0,3.280406501993127e-10,0.999997615814209,6.129350360595254e-09,22,45000,70
24,0.9884270429611206,0.0,2.8561488729650364e-09,1.519683223705215e-08,1.5288446775230113e-07,1.0,3.285420291376795e-07,3.4054540437589154e-11,4.744686634694517e-07,4,45000,68
25,0.8459105491638184,0.0,0.0003203218802809715,2.1133320093902341e-10,7.750347030821558e-10,1.0,1.1176674661328434e-06,1.37373078246128e-07,1.1952346312682494e-06,20,45000,83
26,0.9999082684516907,0.0,1.2736549662162311e-11,2.2146262779187964e-07,3.790920004576037e-07,1.0,4.080994585820008e-06,1.0125853044939959e-08,1.7787021988624474e-06,28,45000,71
27,0.9914416074752808,2.384185791015625e-07,0.9997778534889221,6.406065677921902e-10,1.1769742513934034e-07,0.9999997615814209,1.320721976227901e-09,2.0888414262176802e-11,6.929894158513861e-11,27,45000,78
28,0.9842281341552734,0.0,0.997183084487915,1.0372858127993823e-10,7.504118160195361e-11,1.0,5.74643854633905e-05,5.669943139129108e-13,2.7081792364214152e-09,16,45000,82
29,0.9111652374267578,2.5510787963867188e-05,0.00022410997189581394,5.944842087046709e-06,5.715641293591034e-09,0.9999744892120361,5.267269953534992e-10,3.436391102229486e-11,0.0008939352701418102,29,45000,78
30,0.10196436196565628,0.0,1.6862659272393055e-12,8.057331468691586e-10,2.6433471297243605e-12,1.0,1.2356697425275343e-06,6.741996284170826e-12,1.8859435613194364e-06,2,45000,83
31,6.993618171691196e-06,3.361701965332031e-05,0.0018091527745127678,7.535628299137898e-08,4.9527635326285235e-09,0.9999663829803467,7.235945176375935e-09,0.1011524647474289,4.709337919628354e-10,10,45000,78
32,0.7929036617279053,0.0,0.984288215637207,0.00011363108205841854,1.602057508875987e-08,1.0,6.811982089516277e-10,3.657004610431187e-15,5.0989765441045165e-06,19,45000,85
33,0.001077216467820108,1.1920928955078125e-06,3.7484304549195713e-10,3.029267461873708e-11,1.906844230041213e-13,0.9999988079071045,5.236258220975287e-05,1.0048958332120606e-09,2.147163875735117e-13,14,45000,69
34,0.9484357833862305,0.0,2.3722472178633325e-05,3.116846869488654e-07,5.4644523572733306e-08,1.0,5.079537051394523e-13,8.477358355227227e-13,1.553587258840139e-10,18,45000,68
35,0.2915556728839874,0.0,1.3151593520888127e-06,2.565315959657255e-09,5.056886038801167e-07,1.0,4.662812716560438e-05,9.899424391335288e-09,1.0857651204787544e-06,0,45000,75
36,0.045454204082489014,8.344650268554688e-07,0.27648085355758667,2.924419732153183e-06,2.7664459611997927e-10,0.9999991655349731,7.762329187244177e-05,0.00043846614426001906,4.73414493371016e-13,24,45000,66
37,0.03356983885169029,0.0,5.494446213560877e-07,8.922161941882223e-05,0.0035069212317466736,1.0,3.548463064362295e-05,5.510708547262766e-07,5.439690039556189e-13,13,45000,83
38,0.21281664073467255,0.0,0.01936490647494793,7.980774171301164e-06,2.826053332682932e-06,1.0,2.9399241157079814e-06,7.024222981044659e-08,6.962344034633361e-10,10,45000,71
39,0.00018036320398095995,0.0,0.9990429282188416,5.240671230311023e-10,8.460991693937103e-07,1.0,3.4253287594765425e-05,1.959849790051857e-13,1.1973909641582736e-09,9,45000,84
40,0.963783323764801,0.0,1.1953577017109751e-09,2.2216410400233144e-07,4.656807561786991e-07,1.0,1.00828921628009e-14,0.15978430211544037,8.59553040299943e-07,19,45000,72
41,0.44716089963912964,0.0,0.9999127388000488,8.91842955041966e-09,2.0308279147229769e-07,1.0,1.6561987892238506e-11,5.452458253785153e-07,1.9255704586385036e-08,11,45000,61
42,0.42254263162612915,2.1457672119140625e-06,1.0559374459262472e-06,1.629080870202415e-09,6.578733557915939e-09,0.9999978542327881,1.2435217513484531e-06,1.0993558147154303e-10,2.725250851653982e-07,3,45000,82
43,0.00023413263261318207,0.0,8.332263698451747e-12,2.2855784105602073e-13,9.703812753336649e-11,1.0,3.085824573645368e-07,3.3514879760332406e-07,1.0379083192901817e-07,4,45000,86
44,0.9994707703590393,0.0,5.371280167310033e-07,7.421474546021045e-11,1.0762612589337861e-12,1.0,4.283355536927047e-08,0.001507553388364613,4.1926984345290463e-13,16,45000,70
45,2.3035774574964307e-05,0.0,6.890195436426438e-08,5.5333310849947637e-11,8.942466678263372e-08,1.0,2.4685364223842043e-06,3.095253567342304e-11,1.937745309987804e-06,12,45000,77
46,0.08548838645219803,0.0,6.323091656668112e-05,9.203392892231932e-08,1.4689463796457858e-06,1.0,4.784348220709944e-06,3.8354999731815553e-11,0.009462847374379635,16,45000,81
47,0.0005122591974213719,0.0,0.005577930249273777,1.3351775197609217e-12,1.0355067497913595e-11,1.0,8.183516911230981e-05,3.0438098264085056e-08,2.6698852018114394e-09,4,45000,87
48,0.1533520519733429,2.384185791015625e-07,0.22241008281707764,3.7165202115829743e-07,2.957251687973894e-08,0.9999997615814209,0.010720225982367992,4.372177045297576e-06,0.030621880665421486,28,45000,78
49,0.2481367141008377,0.0,1.9003271518158726e-05,6.656624140788381e-09,2.129171144948927e-10,1.0,0.0007718908600509167,1.317048137217114e-10,2.3183217123801114e-08,21,45000,63
50,0.00035884036333300173,0.0,8.970073572811543e-09,6.610717946387012e-07,6.197632274052012e-08,1.0,0.13900868594646454,0.0005079844268038869,2.043956411475835e-16,24,45000,64
51,0.006140539422631264,0.0,7.394621934508905e-05,3.094014822124791e-09,0.937082827091217,1.0,1.8091509446094278e-06,7.653724765077641e-08,0.0005672850529663265,1,45000,79
52,0.21796278655529022,0.5504065752029419,0.46771344542503357,9.653392587247525e-14,1.3115299957178195e-09,0.4495934247970581,0.00026959081878885627,6.025608740856114e-07,5.597136643054057e-10,8,45000,60
53,0.8476243019104004,0.0,0.002185906283557415,3.5446672264072276e-09,1.2980764019232538e-08,1.0,1.650744956904096e-17,6.742642000290289e-08,1.9255018925330193e-14,18,45000,84
54,0.00015564188652206212,2.086162567138672e-05,0.9968871474266052,6.305693467378859e-11,4.251841403402068e-07,0.9999791383743286,5.5113549024099484e-05,1.9989642712489527e-16,4.12846941691674e-14,9,45000,67
55,0.7098922729492188,0.0,7.972268940648064e-05,1.0094385061165667e-06,1.8930368241854012e-05,1.0,1.1540171485080464e-08,0.9963542222976685,6.035952987426541e-13,23,45000,81
56,3.2497322536073625e-05,3.886222839355469e-05,8.270076250482816e-07,1.8180020333602442e-07,3.0560391905964934e-07,0.9999611377716064,0.003261763835325837,6.321133801936649e-14,4.16586999563151e-06,6,45000,78
57,0.5028879642486572,0.0,1.7514689716335852e-06,1.5966001853939815e-07,4.779903584051226e-09,1.0,0.018411289900541306,5.986827700255049e-10,1.7144791142342797e-10,27,45000,80
58,0.0005329388659447432,0.0,0.9993465542793274,4.3677101935202245e-09,4.553548365038296e-07,1.0,0.0030886319000273943,5.451064438429052e-15,4.920921448103854e-09,9,45000,69
59,0.9901348948478699,0.0,0.2642291188240051,5.468841490774423e-10,4.902289130193083e-10,1.0,4.477584298001602e-05,3.5431092726412317e-08,8.706757625986938e-08,16,45000,79
60,0.0043092407286167145,0.0,0.98386150598526,1.319175657599203e-09,7.238289967403944e-10,1.0,1.913082144888961e-15,1.4767874034760098e-08,2.5205346698697895e-09,17,45000,85
61,0.9833750128746033,2.384185791015625e-07,0.0022193489130586386,4.8901860338901315e-09,3.0781461823892187e-09,0.9999997615814209,1.6075919262448224e-08,1.7444020672385818e-09,2.8873653468153293e-11,28,45000,67
62,0.8544780611991882,0.0,2.0724035820762765e-08,0.00015627194079570472,2.001987013500184e-06,1.0,7.578611985081807e-05,0.9999743700027466,4.949041732525174e-14,26,45000,62
63,0.06120598316192627,0.0,0.11259274929761887,2.362810502809509e-10,2.9811384472111513e-09,1.0,0.0028333391528576612,4.4181980123070286e-12,9.127937900703983e-15,14,45000,76
64,2.681260411918629e-05,0.0,0.8878276944160461,1.0995160944909932e-12,5.537304555852662e-13,1.0,1.7642488501223852e-06,6.943531305481088e-10,5.138955328442239e-14,0,45000,74
65,0.9439662098884583,0.0,0.992588996887207,1.3796216080663726e-07,2.69196420710216e-09,1.0,6.921991007402539e-05,2.306411062136249e-09,8.134891231748043e-07,16,45000,61
66,2.5656515845184913e-06,0.0,0.0014593163505196571,8.233785357626873e-15,3.435672360214796e-14,1.0,5.107869947096333e-05,1.665507625148166e-07,1.737309185401159e-10,7,45000,81
67,0.9830078482627869,7.796287536621094e-05,0.009068278595805168,2.049471881093723e-08,3.3296650769898406e-08,0.9999220371246338,5.185032958543445e-12,1.9501577002561943e-13,1.8254721374910197e-17,22,45000,76
68,0.9333252906799316,0.0,0.9999996423721313,1.6033480099153508e-09,4.411364051826183e-10,1.0,2.4715809399111777e-09,7.618752850824251e-11,6.324664912887162e-14,27,45000,76
69,0.00033099239226430655,0.0,0.9971035122871399,5.884504255398992e-12,1.210634023585122e-12,1.0,2.3789510805727332e-07,0.0012845175806432962,0.00014691500109620392,7,45000,62
70,0.6148039102554321,0.0,3.6514760941470936e-13,9.92823512291352e-09,3.435913242810784e-08,1.0,1.4143599003091367e-07,3.7072916859602536e-15,3.0341213567340814e-15,3,45000,86
71,0.9841030836105347,1.1920928955078125e-07,5.690206421604671e-07,1.2083355613867752e-06,2.0243986043055884e-08,0.9999998807907104,5.321193157215021e-07,8.905311005946714e-06,7.086676758654223e-14,20,45000,69
72,0.016554364934563637,2.0265579223632812e-06,1.330380250408325e-08,3.136540271952981e-08,8.417742947131046e-09,0.9999979734420776,1.1130377060908359e-05,3.2729880672377476e-07,1.2459894227490054e-09,3,45000,63
73,0.3144046664237976,0.0,0.8283711075782776,5.60374417091225e-07,1.1633491503459936e-08,1.0,2.910695151570053e-08,5.529738245968474e-06,9.685461762850341e-17,25,45000,66
74,0.9656712412834167,0.0,0.4798946678638458,1.4783229751458293e-08,4.405760201109388e-09,1.0,1.4426151384583363e-09,5.423980837804265e-07,7.958762182624923e-08,20,45000,70
75,0.839396059513092,0.008315324783325195,0.05759458616375923,8.818468631943688e-05,4.9882370234399787e-08,0.9916846752166748,0.00010781249147839844,1.5447443324489996e-10,7.545891537487359e-13,26,45000,60
76,0.0011297244345769286,0.0,3.126926984009515e-08,6.047457673519219e-11,2.0357006746962725e-08,1.0,1.1035673573629875e-15,3.7804880753666836e-11,9.344908180608513e-10,17,45000,71
77,0.9999452829360962,0.0,5.121200388202851e-07,1.1607733540586196e-05,3.353728628141539e-09,1.0,1.5776787449794938e-06,1.3332826291308827e-14,8.807323865767103e-06,21,45000,72
78,0.049283623695373535,0.0,5.727615643991157e-07,7.214712716141491e-10,6.491991655366292e-08,1.0,2.9518366773118032e-06,6.520920692310028e-08,5.004686595699859e-11,15,45000,83
79,0.999401867389679,0.0,0.9082379937171936,2.732282844419842e-08,2.462355597199206e-10,1.0,1.91278060057698e-09,2.225953880989834e-16,7.02645805241201e-15,27,45000,69
80,0.0026145053561776876,1.1920928955078125e-07,5.594488761140326e-10,1.3225990615206573e-11,1.6625884696752635e-11,0.9999998807907104,1.690397333220517e-08,3.712103193720395e-07,2.2813059774584588e-10,5,45000,72
81,0.05145830661058426,0.0,8.650041620483773e-12,3.371807224539225e-06,1.2835640106345636e-08,1.0,4.790149978362024e-05,0.7528929710388184,2.870442531127497e-14,24,45000,72
82,0.0004969656583853066,0.0,3.552484417745916e-10,7.792173017939774e-10,1.0909142389436965e-07,1.0,8.570500398263903e-08,0.9999998807907104,2.1910794359425445e-11,11,45000,60
83,0.002413119887933135,0.0,8.956719810271352e-09,4.140057654339335e-12,1.090944470042354e-14,1.0,1.2902098660561023e-06,4.4541156540844895e-08,8.962562914049954e-10,7,45000,66
84,6.63764076307416e-05,0.0,0.9955856800079346,7.51275170546295e-12,1.0506141734367702e-07,1.0,2.2873600755701773e-05,1.2865674534623395e-06,3.3611127037147526e-07,9,45000,89
85,0.6964243054389954,0.0,0.9897661805152893,3.1093415486793674e-07,1.9502256691339426e-05,1.0,5.5963348131626844e-05,6.561157533724327e-06,1.8850785636459477e-05,0,45000,61
86,0.052407603710889816,0.0,0.007434900850057602,2.8173428867628303e-11,1.7710885003907606e-05,1.0,2.309994329152687e-07,2.277460043725153e-18,4.999373359737547e-08,1,45000,63
87,0.11142757534980774,0.0,0.00023644159955438226,1.2220284090474088e-14,6.039554300467723e-14,1.0,2.1346778511510678e-11,0.47823983430862427,6.681920208112535e-12,12,45000,70
88,0.9845207333564758,0.0,3.4801905281212075e-12,1.5882382285781205e-05,6.323670476149346e-08,1.0,1.3024910039405313e-08,1.0657745264097684e-07,6.227343029533306e-15,25,45000,64
89,0.96586012840271,0.0,0.1899413913488388,2.6871942893080814e-08,2.3680676974890957e-08,1.0,0.0011958613758906722,5.975424044457611e-10,2.366373701079283e-05,28,45000,82
