avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
28.57037037037037,0.9777777777777777,132,2.015151515151515,1.0,0.9703703703703703,131,1.0,1.0,131,131,131,131,0.4961832061068702,65,131,0.4307692307692308,28,65,0.2074074074074074,0.4,54,0.014814814814814815,2,0.02962962962962963,4,1.0,1.9772727272727273,2.0,132,0.4,54,0.9703703703703703,131,0.5333333333333333,72,1.0,135,15,58,8,54,0.1111111111111111,0.42962962962962964,0.05925925925925926,0.4,0.0,0,0.45925925925925926,62,0.4888888888888889,66,0.2074074074074074,28,2000,0.0,0.2074074074074074,28,28,0,0,s1s3,135,0.9777777777777777,132
28.57037037037037,0.9851851851851852,133,1.4210526315789473,1.0,0.9777777777777777,132,0.9924242424242424,0.9924242424242424,131,131,132,132,0.4198473282442748,55,131,0.3090909090909091,17,55,0.1259259259259259,0.31851851851851853,43,0.007407407407407408,1,0.022222222222222223,3,1.0,2.1052631578947367,2.0,133,0.32592592592592595,44,0.9777777777777777,132,0.43703703703703706,59,1.0,135,21,41,5,68,0.15555555555555556,0.3037037037037037,0.037037037037037035,0.5037037037037037,0.0,0,0.5407407407407407,73,0.4222222222222222,57,0.1259259259259259,17,4000,0.0,0.1259259259259259,17,17,0,0,s1s3,135,0.9851851851851852,133
28.57037037037037,0.9925925925925926,134,2.1166666666666667,1.0,0.9703703703703703,131,0.9923664122137404,0.9923664122137404,130,130,131,131,0.43846153846153846,57,130,0.17543859649122806,10,57,0.07407407407407407,0.34814814814814815,47,0.007407407407407408,1,0.02962962962962963,4,1.0,2.156716417910448,2.0,134,0.362962962962963,49,0.9703703703703703,131,0.45185185185185184,61,1.0,135,38,24,3,70,0.2814814814814815,0.17777777777777778,0.022222222222222223,0.5185185185185185,0.0,0,0.5407407407407407,73,0.4444444444444444,60,0.07407407407407407,10,6000,0.0,0.07407407407407407,10,10,0,0,s1s3,135,0.9925925925925926,134
28.57037037037037,0.9925925925925926,134,3.463768115942029,1.0,0.9555555555555556,129,0.9922480620155039,0.9922480620155039,128,128,129,129,0.515625,66,128,0.09090909090909091,6,66,0.044444444444444446,0.28888888888888886,39,0.007407407407407408,1,0.044444444444444446,6,1.0,2.6865671641791047,2.0,134,0.3037037037037037,41,0.9555555555555556,129,0.5185185185185185,70,1.0,135,70,19,18,28,0.5185185185185185,0.14074074074074075,0.13333333333333333,0.2074074074074074,0.0,0,0.34074074074074073,46,0.5111111111111111,69,0.044444444444444446,6,8000,0.0,0.044444444444444446,6,6,0,0,s1s3,135,0.9925925925925926,134
28.57037037037037,0.9851851851851852,133,2.442622950819672,1.0,0.9629629629629629,130,0.9923076923076923,0.9923076923076923,129,129,130,130,0.4496124031007752,58,129,0.08620689655172414,5,58,0.03703703703703704,0.35555555555555557,48,0.014814814814814815,2,0.037037037037037035,5,1.0,2.4962406015037595,2.0,133,0.37037037037037035,50,0.9629629629629629,130,0.4962962962962963,67,1.0,135,54,13,6,62,0.4,0.0962962962962963,0.044444444444444446,0.45925925925925926,0.0,0,0.5037037037037037,68,0.45185185185185184,61,0.037037037037037035,5,10000,-6.938893903907228e-18,0.037037037037037035,5,5,0,0,s1s3,135,0.9851851851851852,133
28.57037037037037,0.9851851851851852,133,3.769230769230769,2.0,0.9555555555555556,129,0.9844961240310077,0.9844961240310077,127,127,129,129,0.5984251968503937,76,127,0.013157894736842105,1,76,0.007407407407407408,0.31851851851851853,43,0.007407407407407408,1,0.044444444444444446,6,1.0,3.0225563909774436,2.0,133,0.31851851851851853,43,0.9555555555555556,129,0.5851851851851851,79,1.0,135,90,11,9,25,0.6666666666666666,0.08148148148148149,0.06666666666666667,0.18518518518518517,0.0,0,0.2518518518518518,34,0.5777777777777777,78,0.007407407407407408,1,12000,0.0,0.007407407407407408,1,1,0,0,s1s3,135,0.9851851851851852,133
28.57037037037037,0.9925925925925926,134,2.3692307692307693,1.0,0.9185185185185185,124,0.9919354838709677,0.9919354838709677,123,123,124,124,0.5121951219512195,63,123,0.07936507936507936,5,63,0.037037037037037035,0.34074074074074073,46,0.007407407407407408,1,0.08148148148148149,11,1.0,3.41044776119403,2.0,134,0.34814814814814815,47,0.9185185185185185,124,0.5185185185185185,70,1.0,135,66,9,18,42,0.4888888888888889,0.06666666666666667,0.13333333333333333,0.3111111111111111,0.0,0,0.4444444444444444,60,0.48148148148148145,65,0.037037037037037035,5,14000,0.0,0.037037037037037035,5,5,0,0,s1s3,135,0.9925925925925926,134
28.57037037037037,0.8814814814814815,119,1.6,1.0,0.9333333333333333,126,0.9126984126984127,0.9126984126984127,115,115,126,126,0.46956521739130436,54,115,0.037037037037037035,2,54,0.014814814814814815,0.37777777777777777,51,0.007407407407407408,1,0.06666666666666667,9,1.0,2.563025210084034,2.0,119,0.3851851851851852,52,0.9333333333333333,126,0.4444444444444444,60,1.0,135,69,5,10,51,0.5111111111111111,0.037037037037037035,0.07407407407407407,0.37777777777777777,0.0,0,0.45185185185185184,61,0.4074074074074074,55,0.014814814814814815,2,16000,0.0,0.014814814814814815,2,2,0,0,s1s3,135,0.8814814814814815,119
28.57037037037037,0.9703703703703703,131,2.984126984126984,2.0,0.9481481481481482,128,0.9765625,0.9765625,125,125,128,128,0.496,62,125,0.03225806451612903,2,62,0.014814814814814814,0.34814814814814815,47,0.007407407407407408,1,0.05185185185185185,7,1.0,3.2061068702290076,2.0,131,0.34814814814814815,47,0.9481481481481482,128,0.5037037037037037,68,1.0,135,69,6,11,49,0.5111111111111111,0.044444444444444446,0.08148148148148149,0.362962962962963,0.0,0,0.4444444444444444,60,0.4666666666666667,63,0.014814814814814815,2,18000,1.734723475976807e-18,0.014814814814814815,2,2,0,0,s1s3,135,0.9703703703703703,131
28.57037037037037,0.8962962962962963,121,3.8472222222222223,2.0,0.9259259259259259,125,0.912,0.912,114,114,125,125,0.6052631578947368,69,114,0.014492753623188406,1,69,0.007407407407407407,0.37037037037037035,50,0.007407407407407408,1,0.07407407407407407,10,1.0,3.1074380165289255,2.0,121,0.37777777777777777,51,0.9259259259259259,125,0.5703703703703704,77,1.0,135,83,11,12,29,0.6148148148148148,0.08148148148148149,0.08888888888888889,0.21481481481481482,0.0,0,0.3037037037037037,41,0.5333333333333333,72,0.007407407407407408,1,20000,8.673617379884035e-19,0.007407407407407408,1,1,0,0,s1s3,135,0.8962962962962963,121
