avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
29.11111111111111,0.9703703703703703,131,3.958904109589041,1.0,0.9703703703703703,131,1.0,1.0,131,131,131,131,0.5572519083969466,73,131,0.3013698630136986,22,73,0.16296296296296295,0.5481481481481482,74,0.007407407407407408,1,0.02962962962962963,4,1.0,1.618320610687023,1.0,131,0.5481481481481482,74,0.9703703703703703,131,0.562962962962963,76,1.0,135,36,1,44,1,53,0.26666666666666666,0.007407407407407408,0.32592592592592595,0.007407407407407408,0.3925925925925926,0.0,0,0.4,54,0.5407407407407407,73,0.16296296296296298,22,2000,2.7755575615628914e-17,0.16296296296296298,22,22,0,0,s1s3,135,0.9703703703703703,131
29.11111111111111,0.9481481481481482,128,1.2923076923076924,1.0,0.9333333333333333,126,0.9920634920634921,0.9920634920634921,125,125,126,126,0.504,63,125,0.49206349206349204,31,63,0.22962962962962963,0.4,54,0.007407407407407408,1,0.06666666666666667,9,1.0,1.7890625,2.0,128,0.4148148148148148,56,0.9333333333333333,126,0.5037037037037037,68,1.0,135,31,4,37,1,62,0.22962962962962963,0.02962962962962963,0.2740740740740741,0.007407407407407408,0.45925925925925926,0.0,0,0.4666666666666667,63,0.48148148148148145,65,0.22962962962962963,31,4000,0.0,0.22962962962962963,31,31,0,0,s1s3,135,0.9481481481481482,128
29.11111111111111,0.9629629629629629,130,1.40625,1.0,0.9037037037037037,122,0.9836065573770492,0.9836065573770492,120,120,122,122,0.4583333333333333,55,120,0.2727272727272727,15,55,0.11111111111111109,0.4222222222222222,57,0.007407407407407408,1,0.0962962962962963,13,1.0,1.7538461538461538,1.0,130,0.4888888888888889,66,0.9037037037037037,122,0.48148148148148145,65,1.0,135,48,4,17,5,61,0.35555555555555557,0.02962962962962963,0.1259259259259259,0.037037037037037035,0.45185185185185184,0.0,0,0.4888888888888889,66,0.4740740740740741,64,0.1111111111111111,15,6000,1.3877787807814457e-17,0.1111111111111111,15,15,0,0,s1s3,135,0.9629629629629629,130
29.11111111111111,0.9703703703703703,131,1.2857142857142858,1.0,0.9629629629629629,130,0.9923076923076923,0.9923076923076923,129,129,130,130,0.4806201550387597,62,129,0.016129032258064516,1,62,0.007407407407407407,0.4962962962962963,67,0.007407407407407408,1,0.037037037037037035,5,1.0,1.6488549618320612,1.0,131,0.5037037037037037,68,0.9629629629629629,130,0.4888888888888889,66,1.0,135,62,1,4,2,66,0.45925925925925926,0.007407407407407408,0.02962962962962963,0.014814814814814815,0.4888888888888889,0.0,0,0.5037037037037037,68,0.4666666666666667,63,0.007407407407407408,1,8000,8.673617379884035e-19,0.007407407407407408,1,1,0,0,s1s3,135,0.9703703703703703,131
29.11111111111111,0.9407407407407408,127,1.434782608695652,1.0,0.9037037037037037,122,0.9672131147540983,0.9672131147540983,118,118,122,122,0.5169491525423728,61,118,0.14754098360655737,9,61,0.06666666666666665,0.5333333333333333,72,0.0,0,0.0962962962962963,13,1.0,1.5354330708661417,1.0,127,0.5925925925925926,80,0.9037037037037037,122,0.5111111111111111,69,1.0,135,55,8,14,2,56,0.4074074074074074,0.05925925925925926,0.1037037037037037,0.014814814814814815,0.4148148148148148,0.0,0,0.42962962962962964,58,0.5111111111111111,69,0.06666666666666667,9,10000,1.3877787807814457e-17,0.06666666666666667,9,9,0,0,s1s3,135,0.9407407407407408,127
29.11111111111111,0.9851851851851852,133,1.6567164179104477,2.0,0.9259259259259259,125,1.0,1.0,125,125,125,125,0.488,61,125,0.14754098360655737,9,61,0.06666666666666667,0.5037037037037037,68,0.007407407407407408,1,0.07407407407407407,10,1.0,1.781954887218045,1.0,133,0.5481481481481482,74,0.9259259259259259,125,0.5037037037037037,68,1.0,135,56,1,12,3,63,0.4148148148148148,0.007407407407407408,0.08888888888888889,0.022222222222222223,0.4666666666666667,0.0,0,0.4888888888888889,66,0.4962962962962963,67,0.06666666666666667,9,12000,0.0,0.06666666666666667,9,9,0,0,s1s3,135,0.9851851851851852,133
29.11111111111111,0.9555555555555556,129,1.4057971014492754,1.0,0.9037037037037037,122,0.9836065573770492,0.9836065573770492,120,120,122,122,0.5166666666666667,62,120,0.06451612903225806,4,62,0.029629629629629627,0.5185185185185185,70,0.007407407407407408,1,0.0962962962962963,13,1.0,2.046511627906977,1.0,129,0.5703703703703704,77,0.9037037037037037,122,0.5185185185185185,70,1.0,135,57,5,15,1,57,0.4222222222222222,0.037037037037037035,0.1111111111111111,0.007407407407407408,0.4222222222222222,0.0,0,0.42962962962962964,58,0.5111111111111111,69,0.02962962962962963,4,14000,3.469446951953614e-18,0.02962962962962963,4,4,0,0,s1s3,135,0.9555555555555556,129
29.11111111111111,0.9703703703703703,131,1.462686567164179,1.0,0.8962962962962963,121,0.9917355371900827,0.9917355371900827,120,120,121,121,0.475,57,120,0.05263157894736842,3,57,0.02222222222222222,0.45925925925925926,62,0.007407407407407408,1,0.1037037037037037,14,1.0,1.6793893129770991,1.0,131,0.5333333333333333,72,0.8962962962962963,121,0.5037037037037037,68,1.0,135,60,2,9,4,60,0.4444444444444444,0.014814814814814815,0.06666666666666667,0.02962962962962963,0.4444444444444444,0.0,0,0.4740740740740741,64,0.4962962962962963,67,0.022222222222222223,3,16000,3.469446951953614e-18,0.022222222222222223,3,3,0,0,s1s3,135,0.9703703703703703,131
29.11111111111111,0.9777777777777777,132,1.234375,1.0,0.9555555555555556,129,1.0,1.0,129,129,129,129,0.4806201550387597,62,129,0.016129032258064516,1,62,0.007407407407407408,0.5481481481481482,74,0.007407407407407408,1,0.044444444444444446,6,1.0,1.606060606060606,1.0,132,0.562962962962963,76,0.9555555555555556,129,0.4888888888888889,66,1.0,135,58,0,9,3,65,0.42962962962962964,0,0.06666666666666667,0.022222222222222223,0.48148148148148145,0.0,0,0.5037037037037037,68,0.4740740740740741,64,0.007407407407407408,1,18000,0.0,0.007407407407407408,1,1,0,0,s1s3,135,0.9777777777777777,132
29.11111111111111,0.9851851851851852,133,1.21875,1.0,0.9481481481481482,128,1.0,1.0,128,128,128,128,0.4765625,61,128,0.03278688524590164,2,61,0.014814814814814817,0.5555555555555556,75,0.007407407407407408,1,0.05185185185185185,7,1.0,1.5488721804511278,1.0,133,0.5777777777777777,78,0.9481481481481482,128,0.4888888888888889,66,1.0,135,60,0,6,3,66,0.4444444444444444,0,0.044444444444444446,0.022222222222222223,0.4888888888888889,0.0,0,0.5111111111111111,69,0.4740740740740741,64,0.014814814814814815,2,20000,-1.734723475976807e-18,0.014814814814814815,2,2,0,0,s1s3,135,0.9851851851851852,133
