avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
8.037037037037036,3.6,5,77,10,2,41,135,0.037037037037037035,0.5703703703703704,0.07407407407407407,0.014814814814814815,0.3037037037037037,2000,s1s3
9.422222222222222,3.362962962962963,2,65,20,5,43,135,0.014814814814814815,0.48148148148148145,0.14814814814814814,0.037037037037037035,0.31851851851851853,4000,s1s3
12.185185185185185,3.2814814814814817,8,64,28,9,26,135,0.05925925925925926,0.4740740740740741,0.2074074074074074,0.06666666666666667,0.1925925925925926,6000,s1s3
10.548148148148147,1.674074074074074,3,64,27,18,23,135,0.022222222222222223,0.4740740740740741,0.2,0.13333333333333333,0.17037037037037037,8000,s1s3
10.407407407407407,2.414814814814815,5,63,24,27,16,135,0.037037037037037035,0.4666666666666667,0.17777777777777778,0.2,0.11851851851851852,10000,s1s3
9.896296296296295,1.8074074074074074,2,64,22,29,18,135,0.014814814814814815,0.4740740740740741,0.16296296296296298,0.21481481481481482,0.13333333333333333,12000,s1s3
14.059259259259258,1.9111111111111112,1,59,42,27,6,135,0.007407407407407408,0.43703703703703706,0.3111111111111111,0.2,0.044444444444444446,14000,s1s3
13.014814814814814,1.5333333333333334,2,61,39,27,6,135,0.014814814814814815,0.45185185185185184,0.28888888888888886,0.2,0.044444444444444446,16000,s1s3
14.896296296296295,1.9333333333333333,7,62,43,18,5,135,0.05185185185185185,0.45925925925925926,0.31851851851851853,0.13333333333333333,0.037037037037037035,18000,s1s3
11.674074074074074,1.9407407407407407,21,52,28,20,14,135,0.15555555555555556,0.3851851851851852,0.2074074074074074,0.14814814814814814,0.1037037037037037,20000,s1s3
