chance_level_mean,prob_bridge_given_valid_mean,prob_causal_given_bridge_mean,prob_valid_mean,step
0.9813515126848461,0.4192698703679609,0.9995944672132622,0.38466796972724193,2000
0.9813515126848461,0.30272373898261934,0.9998511040528945,0.3023776000002464,4000
0.9813515126848461,0.1953572705418946,0.9908408642671733,0.215342688463659,6000
0.9813515126848461,0.1888835026271358,0.986220489282862,0.09032631485646157,8000
0.9813515126848461,0.13253674722409206,0.9300294565459025,0.023313311603186674,10000
0.9813515126848461,0.09125732197907659,0.8166428954217324,0.03024462877270379,12000
0.9813515126848461,0.08460904336799903,0.687953718200726,0.0244555436568266,14000
0.9813515126848461,0.07419502101020903,0.6604733514891807,0.015977941862872234,16000
0.9813515126848461,0.07864802129178224,0.6158002390254758,0.02930121550052762,18000
0.9813515126848461,0.10127688641950645,0.6926261407410422,0.04974220353078396,20000
