avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
6.564444444444445,1.9644444444444444,6,110,24,13,297,450,0.013333333333333334,0.24444444444444444,0.05333333333333334,0.028888888888888888,0.66,2000,s1s3
5.795555555555556,1.1711111111111112,18,108,15,151,158,450,0.04,0.24,0.03333333333333333,0.33555555555555555,0.3511111111111111,4000,s1s3
5.435555555555555,1.2377777777777779,17,109,7,73,244,450,0.03777777777777778,0.24222222222222223,0.015555555555555555,0.1622222222222222,0.5422222222222223,6000,s1s3
9.351111111111111,1.0733333333333333,36,109,71,130,104,450,0.08,0.24222222222222223,0.15777777777777777,0.28888888888888886,0.2311111111111111,8000,s1s3
8.764444444444445,1.6422222222222222,28,107,51,156,108,450,0.06222222222222222,0.23777777777777778,0.11333333333333333,0.3466666666666667,0.24,10000,s1s3
7.593333333333334,1.0,46,108,37,159,100,450,0.10222222222222223,0.24,0.08222222222222222,0.35333333333333333,0.2222222222222222,12000,s1s3
10.622222222222222,1.4533333333333334,35,109,84,167,55,450,0.07777777777777778,0.24222222222222223,0.18666666666666668,0.3711111111111111,0.12222222222222222,14000,s1s3
9.617777777777778,0.9888888888888889,78,100,67,117,88,450,0.17333333333333334,0.2222222222222222,0.14888888888888888,0.26,0.19555555555555557,16000,s1s3
9.524444444444445,2.0644444444444443,44,109,63,123,111,450,0.09777777777777778,0.24222222222222223,0.14,0.2733333333333333,0.24666666666666667,18000,s1s3
11.075555555555555,1.0577777777777777,55,105,89,129,72,450,0.12222222222222222,0.23333333333333334,0.19777777777777777,0.2866666666666667,0.16,20000,s1s3
