avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
10.459259259259259,4.703703703703703,0,26,14,1,94,135,0,0.1925925925925926,0.1037037037037037,0.007407407407407408,0.6962962962962963,2000,s1s3
7.407407407407407,4.118518518518519,0,16,0,0,119,135,0,0.11851851851851852,0,0,0.8814814814814815,4000,s1s3
7.2518518518518515,4.222222222222222,1,16,0,0,118,135,0.007407407407407408,0.11851851851851852,0,0,0.8740740740740741,6000,s1s3
7.777777777777778,4.674074074074074,1,17,0,0,117,135,0.007407407407407408,0.1259259259259259,0,0,0.8666666666666667,8000,s1s3
7.266666666666667,4.274074074074074,0,16,0,0,119,135,0,0.11851851851851852,0,0,0.8814814814814815,10000,s1s3
7.37037037037037,4.207407407407407,0,16,0,0,119,135,0,0.11851851851851852,0,0,0.8814814814814815,12000,s1s3
7.5777777777777775,4.622222222222222,1,16,0,0,118,135,0.007407407407407408,0.11851851851851852,0,0,0.8740740740740741,14000,s1s3
7.54074074074074,4.659259259259259,1,16,0,0,118,135,0.007407407407407408,0.11851851851851852,0,0,0.8740740740740741,16000,s1s3
7.481481481481482,4.666666666666667,1,16,0,0,118,135,0.007407407407407408,0.11851851851851852,0,0,0.8740740740740741,18000,s1s3
7.548148148148148,4.711111111111111,1,16,0,0,118,135,0.007407407407407408,0.11851851851851852,0,0,0.8740740740740741,20000,s1s3
