avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SUCCESS,step,task_type
6.0,1.9333333333333333,126,1,5,3,135,0.9333333333333333,0.007407407407407408,0.037037037037037035,0.022222222222222223,2000,s1s3
5.014814814814815,1.2592592592592593,130,3,1,1,135,0.9629629629629629,0.022222222222222223,0.007407407407407408,0.007407407407407408,4000,s1s3
5.192592592592592,1.3777777777777778,130,2,1,2,135,0.9629629629629629,0.014814814814814815,0.007407407407407408,0.014814814814814815,6000,s1s3
8.837037037037037,1.162962962962963,109,7,19,0,135,0.8074074074074075,0.05185185185185185,0.14074074074074075,0.0,8000,s1s3
8.703703703703704,1.711111111111111,112,7,16,0,135,0.8296296296296296,0.05185185185185185,0.11851851851851852,0.0,10000,s1s3
7.7555555555555555,1.125925925925926,112,11,12,0,135,0.8296296296296296,0.08148148148148149,0.08888888888888889,0.0,12000,s1s3
10.925925925925926,1.711111111111111,102,6,27,0,135,0.7555555555555555,0.044444444444444446,0.2,0.0,14000,s1s3
9.762962962962963,1.0444444444444445,108,6,21,0,135,0.8,0.044444444444444446,0.15555555555555556,0.0,16000,s1s3
9.755555555555556,2.237037037037037,106,8,21,0,135,0.7851851851851852,0.05925925925925926,0.15555555555555556,0.0,18000,s1s3
11.622222222222222,1.237037037037037,97,8,30,0,135,0.7185185185185186,0.05925925925925926,0.2222222222222222,0.0,20000,s1s3
