avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.4955555555555556,223,1.2916666666666667,1.0,0.6333333333333333,285,0.7824561403508772,0.7824561403508772,223,223,285,285,0.5381165919282511,120,223,0.8583333333333333,103,120,0.22888888888888886,0.3466666666666667,156,0.017777777777777778,8,0.36666666666666664,165,1.0,1.4035874439461884,1.0,223,0.3466666666666667,156,0.6333333333333333,285,0.39555555555555555,178,1.0,450,17,169,161,103,0.03777777777777778,0.37555555555555553,0.35777777777777775,0.2288888888888889,0.0,0,0.2288888888888889,103,0.26666666666666666,120,0.2288888888888889,103,2000,2.7755575615628914e-17,0.2288888888888889,103,103,0,0,s1s3,450,0.4955555555555556,223
27.406666666666666,0.6711111111111111,302,1.3223684210526316,1.0,0.7088888888888889,319,0.9341692789968652,0.9341692789968652,298,298,319,319,0.4966442953020134,148,298,0.6418918918918919,95,148,0.2111111111111111,0.5866666666666667,264,0.011111111111111112,5,0.2911111111111111,131,1.0,1.1291390728476822,1.0,302,0.5933333333333334,267,0.7088888888888889,319,0.4222222222222222,190,1.0,450,56,110,134,150,0.12444444444444444,0.24444444444444444,0.29777777777777775,0.3333333333333333,0.0,0,0.3333333333333333,150,0.3377777777777778,152,0.2111111111111111,95,4000,0.0,0.2111111111111111,95,95,0,0,s1s3,450,0.6711111111111111,302
27.406666666666666,0.5266666666666666,237,1.2482758620689656,1.0,0.5822222222222222,262,0.8816793893129771,0.8816793893129771,231,231,262,262,0.6017316017316018,139,231,0.5107913669064749,71,139,0.1577777777777778,0.4444444444444444,200,0.015555555555555555,7,0.4177777777777778,188,1.0,1.1645569620253164,1.0,237,0.4577777777777778,206,0.5822222222222222,262,0.43333333333333335,195,1.0,450,63,163,132,92,0.14,0.3622222222222222,0.29333333333333333,0.20444444444444446,0.0,0,0.20444444444444446,92,0.32222222222222224,145,0.15777777777777777,71,6000,-2.7755575615628914e-17,0.15777777777777777,71,71,0,0,s1s3,450,0.5266666666666666,237
27.406666666666666,0.3688888888888889,166,1.2380952380952381,1.0,0.5022222222222222,226,0.7123893805309734,0.7123893805309734,161,161,226,226,0.7515527950310559,121,161,0.512396694214876,62,121,0.13777777777777778,0.28888888888888886,130,0.03111111111111111,14,0.49777777777777776,224,1.0,1.8132530120481927,1.0,166,0.2911111111111111,131,0.5022222222222222,226,0.44222222222222224,199,1.0,450,53,211,146,40,0.11777777777777777,0.4688888888888889,0.3244444444444444,0.08888888888888889,0.0,0,0.08888888888888889,40,0.28,126,0.13777777777777778,62,8000,0.0,0.13777777777777778,62,62,0,0,s1s3,450,0.3688888888888889,166
27.406666666666666,0.42444444444444446,191,1.2366412213740459,1.0,0.5288888888888889,238,0.7689075630252101,0.7689075630252101,183,183,238,238,0.6721311475409836,123,183,0.44715447154471544,55,123,0.12222222222222222,0.34444444444444444,155,0.03111111111111111,14,0.4711111111111111,212,1.0,1.4083769633507854,1.0,191,0.35333333333333333,159,0.5288888888888889,238,0.4711111111111111,212,1.0,450,49,178,163,60,0.10888888888888888,0.39555555555555555,0.3622222222222222,0.13333333333333333,0.0,0,0.13333333333333333,60,0.2911111111111111,131,0.12222222222222222,55,10000,0.0,0.12222222222222222,55,55,0,0,s1s3,450,0.42444444444444446,191
27.406666666666666,0.6288888888888889,283,1.3611111111111112,1.0,0.6555555555555556,295,0.9254237288135593,0.9254237288135593,273,273,295,295,0.4908424908424908,134,273,0.6044776119402985,81,134,0.17999999999999997,0.5377777777777778,242,0.02,9,0.34444444444444444,155,1.0,1.1201413427561837,1.0,283,0.56,252,0.6555555555555556,295,0.44,198,1.0,450,34,113,164,139,0.07555555555555556,0.2511111111111111,0.36444444444444446,0.3088888888888889,0.0,0,0.3088888888888889,139,0.32,144,0.18,81,12000,2.7755575615628914e-17,0.18,81,81,0,0,s1s3,450,0.6288888888888889,283
27.406666666666666,0.3711111111111111,167,1.2758620689655173,1.0,0.5177777777777778,233,0.6995708154506438,0.6995708154506438,163,163,233,233,0.6871165644171779,112,163,0.36607142857142855,41,112,0.09111111111111111,0.3022222222222222,136,0.04,18,0.4822222222222222,217,1.0,1.215568862275449,1.0,167,0.3111111111111111,140,0.5177777777777778,233,0.4533333333333333,204,1.0,450,47,195,157,51,0.10444444444444445,0.43333333333333335,0.3488888888888889,0.11333333333333333,0.0,0,0.11333333333333333,51,0.2577777777777778,116,0.09111111111111111,41,14000,0.0,0.09111111111111111,41,41,0,0,s1s3,450,0.3711111111111111,167
27.406666666666666,0.47555555555555556,214,1.24,1.0,0.6533333333333333,294,0.717687074829932,0.717687074829932,211,211,294,294,0.5781990521327014,122,211,0.36065573770491804,44,122,0.0977777777777778,0.32,144,0.04,18,0.3466666666666667,156,1.0,1.5233644859813085,1.0,214,0.32666666666666666,147,0.6533333333333333,294,0.45555555555555555,205,1.0,450,52,156,153,89,0.11555555555555555,0.3466666666666667,0.34,0.19777777777777777,0.0,0,0.19777777777777777,89,0.2777777777777778,125,0.09777777777777778,44,16000,-1.3877787807814457e-17,0.09777777777777778,44,44,0,0,s1s3,450,0.47555555555555556,214
27.406666666666666,0.29333333333333333,132,1.2897196261682242,1.0,0.46444444444444444,209,0.6220095693779905,0.6220095693779905,130,130,209,209,0.8076923076923077,105,130,0.10476190476190476,11,105,0.02444444444444445,0.25333333333333335,114,0.03777777777777778,17,0.5355555555555556,241,1.0,1.1818181818181819,1.0,132,0.2577777777777778,116,0.46444444444444444,209,0.4577777777777778,206,1.0,450,95,219,111,25,0.2111111111111111,0.4866666666666667,0.24666666666666667,0.05555555555555555,0.0,0,0.05555555555555555,25,0.23777777777777778,107,0.024444444444444446,11,18000,-3.469446951953614e-18,0.024444444444444446,11,11,0,0,s1s3,450,0.29333333333333333,132
27.406666666666666,0.43333333333333335,195,1.2719298245614035,1.0,0.5822222222222222,262,0.7366412213740458,0.7366412213740458,193,193,262,262,0.5803108808290155,112,193,0.22321428571428573,25,112,0.055555555555555546,0.33111111111111113,149,0.04,18,0.4177777777777778,188,1.0,1.4307692307692308,1.0,195,0.33555555555555555,151,0.5822222222222222,262,0.45555555555555555,205,1.0,450,84,164,121,81,0.18666666666666668,0.36444444444444446,0.2688888888888889,0.18,0.0,0,0.18,81,0.25333333333333335,114,0.05555555555555555,25,20000,6.938893903907228e-18,0.05555555555555555,25,25,0,0,s1s3,450,0.43333333333333335,195
