avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
4.746621621621622,2.929054054054054,284,0,12,296,0.9594594594594594,0,0.04054054054054054,5000,s1s2
4.837837837837838,2.8175675675675675,284,0,12,296,0.9594594594594594,0,0.04054054054054054,10000,s1s2
4.858108108108108,2.9324324324324325,286,0,10,296,0.9662162162162162,0,0.033783783783783786,15000,s1s2
4.638513513513513,2.8344594594594597,286,0,10,296,0.9662162162162162,0,0.033783783783783786,20000,s1s2
4.733108108108108,2.8614864864864864,286,0,10,296,0.9662162162162162,0,0.033783783783783786,25000,s1s2
4.827702702702703,2.925675675675676,289,0,7,296,0.9763513513513513,0,0.02364864864864865,30000,s1s2
4.638513513513513,2.804054054054054,284,1,11,296,0.9594594594594594,0.0033783783783783786,0.037162162162162164,35000,s1s2
4.587837837837838,2.7871621621621623,283,1,12,296,0.956081081081081,0.0033783783783783786,0.04054054054054054,40000,s1s2
4.64527027027027,2.7972972972972974,286,0,10,296,0.9662162162162162,0,0.033783783783783786,45000,s1s2
4.672297297297297,2.85472972972973,289,0,7,296,0.9763513513513513,0,0.02364864864864865,50000,s1s2
