decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventB_prime_rate_given_A,eventB_prime_total,eventC_prime_rate_given_AB,eventC_prime_total,eventD_prime_rate_given_ABC,eventD_prime_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_CLEAN_SUCCESS,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_CLEAN_SUCCESS,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_rate,success_total,task_type,total_pairs
0.040540540540540536,0.27702702702702703,82,1.0,82,1.0,82,0.14634146341463414,12,0.0,0,0.0,0,0,12,284,0,0,0.04054054054054054,0.9594594594594594,0,0.04054054054054054,12,1.0,296,0.0,0,5000,0.04054054054054054,12,s1s2,296
0.040540540540540536,0.3108108108108108,92,1.0,92,1.0,92,0.13043478260869565,12,0.0033783783783783786,1,0.0,0,1,12,283,0,0.0033783783783783786,0.04054054054054054,0.956081081081081,0,0.04054054054054054,12,0.9966216216216216,295,0.0,0,10000,0.04054054054054054,12,s1s2,296
0.033783783783783786,0.27702702702702703,82,1.0,82,1.0,82,0.12195121951219512,10,0.006756756756756757,2,0.0,0,2,10,284,0,0.006756756756756757,0.033783783783783786,0.9594594594594594,0,0.033783783783783786,10,0.9932432432432432,294,0.0,0,15000,0.033783783783783786,10,s1s2,296
0.03378378378378378,0.27364864864864863,81,1.0,81,1.0,81,0.12345679012345678,10,0.0033783783783783786,1,0.0,0,1,10,285,0,0.0033783783783783786,0.033783783783783786,0.9628378378378378,0,0.033783783783783786,10,0.9966216216216216,295,0.0,0,20000,0.033783783783783786,10,s1s2,296
0.033783783783783786,0.3141891891891892,93,1.0,93,1.0,93,0.10752688172043011,10,0.0033783783783783786,1,0.0,0,1,10,285,0,0.0033783783783783786,0.033783783783783786,0.9628378378378378,0,0.033783783783783786,10,0.9966216216216216,295,0.0,0,25000,0.033783783783783786,10,s1s2,296
0.02364864864864865,0.2905405405405405,86,1.0,86,1.0,86,0.08139534883720931,7,0.0033783783783783786,1,0.0,0,1,7,288,0,0.0033783783783783786,0.02364864864864865,0.972972972972973,0,0.02364864864864865,7,0.9966216216216216,295,0.0,0,30000,0.02364864864864865,7,s1s2,296
0.03716216216216216,0.2905405405405405,86,1.0,86,1.0,86,0.12790697674418605,11,0.0,0,0.0,0,0,11,284,1,0,0.037162162162162164,0.9594594594594594,0.0033783783783783786,0.037162162162162164,11,1.0,296,0.0,0,35000,0.037162162162162164,11,s1s2,296
0.040540540540540536,0.2635135135135135,78,1.0,78,1.0,78,0.15384615384615385,12,0.0,0,0.0,0,0,12,283,1,0,0.04054054054054054,0.956081081081081,0.0033783783783783786,0.04054054054054054,12,1.0,296,0.0,0,40000,0.04054054054054054,12,s1s2,296
0.033783783783783786,0.30405405405405406,90,1.0,90,1.0,90,0.1111111111111111,10,0.0033783783783783786,1,0.0,0,1,10,285,0,0.0033783783783783786,0.033783783783783786,0.9628378378378378,0,0.033783783783783786,10,0.9966216216216216,295,0.0,0,45000,0.033783783783783786,10,s1s2,296
0.023648648648648653,0.2702702702702703,80,1.0,80,0.9875,79,0.08860759493670886,7,0.0033783783783783786,1,0.0,0,1,7,288,0,0.0033783783783783786,0.02364864864864865,0.972972972972973,0,0.02364864864864865,7,0.9966216216216216,295,0.0,0,50000,0.02364864864864865,7,s1s2,296
