chance_level_mean,prob_bridge_given_valid_mean,prob_causal_given_bridge_mean,prob_valid_mean,step
0.9813515126848461,0.6391137499829571,0.9930367678069989,0.4768258051739799,2000
0.9813515126848461,0.5685278614828945,0.9958493059299403,0.6002619932757484,4000
0.9813515126848461,0.5390078688441323,0.9967307357254772,0.6604492004050149,6000
0.9813515126848461,0.5205597278140817,0.9975781914346004,0.7133967043293847,8000
0.9813515126848461,0.490800999863459,0.997801797666803,0.7330216484599643,10000
0.9813515126848461,0.5114580255357248,0.9979459553458991,0.7453849136829376,12000
0.9813515126848461,0.5159962477226532,0.998152996021963,0.7618230672677359,14000
0.9813515126848461,0.4895609528391326,0.9982189801093815,0.7696481496095657,16000
0.9813515126848461,0.5014828553365644,0.9982317779234063,0.7692862085501353,18000
0.9813515126848461,0.5165385270105569,0.9982578381764617,0.7641346500979529,20000
