avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
8.08148148148148,4.9185185185185185,3,84,0,48,135,0.022222222222222223,0.6222222222222222,0,0.35555555555555557,5000,s1s3
6.940740740740741,3.5037037037037035,9,71,0,55,135,0.06666666666666667,0.5259259259259259,0,0.4074074074074074,10000,s1s3
6.733333333333333,3.437037037037037,23,71,0,41,135,0.17037037037037037,0.5259259259259259,0,0.3037037037037037,15000,s1s3
6.7481481481481485,3.3703703703703702,30,59,0,46,135,0.2222222222222222,0.43703703703703706,0,0.34074074074074073,20000,s1s3
6.614814814814815,3.311111111111111,31,58,0,46,135,0.22962962962962963,0.42962962962962964,0,0.34074074074074073,25000,s1s3
6.229629629629629,2.9555555555555557,34,60,2,39,135,0.2518518518518518,0.4444444444444444,0.014814814814814815,0.28888888888888886,30000,s1s3
5.644444444444445,2.77037037037037,26,68,1,40,135,0.1925925925925926,0.5037037037037037,0.007407407407407408,0.2962962962962963,35000,s1s3
6.2518518518518515,3.111111111111111,31,64,2,38,135,0.22962962962962963,0.4740740740740741,0.014814814814814815,0.2814814814814815,40000,s1s3
6.088888888888889,2.925925925925926,34,56,1,44,135,0.2518518518518518,0.4148148148148148,0.007407407407407408,0.32592592592592595,45000,s1s3
6.17037037037037,2.933333333333333,44,47,2,42,135,0.32592592592592595,0.34814814814814815,0.014814814814814815,0.3111111111111111,50000,s1s3
