avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_STOP_AT_OTHER,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_INVALID_EDGE,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_STOP_AT_OTHER,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_INVALID_EDGE,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
28.385185185185186,1.0,135,5.033898305084746,5.0,1.0,135,1.0,1.0,135,135,135,135,0.43703703703703706,59,135,0.8135593220338984,48,59,0.35555555555555557,0.34074074074074073,46,0.0,0,0.0,0,1.0,2.1037037037037036,2.0,135,0.34074074074074073,46,1.0,135,0.43703703703703706,59,1.0,135,0,59,2,74,0,0.43703703703703706,0.014814814814814815,0.5481481481481482,0.0,0,0.562962962962963,76,0.43703703703703706,59,0.35555555555555557,48,5000,0.0,0.35555555555555557,48,48,0,0,s1s3,135,1.0,135
28.385185185185186,0.9555555555555556,129,3.7941176470588234,4.0,0.9703703703703703,131,0.9770992366412213,0.9770992366412213,128,128,131,131,0.53125,68,128,0.8088235294117647,55,68,0.4074074074074074,0.4222222222222222,57,0.0,0,0.02962962962962963,4,1.0,2.0775193798449614,2.0,129,0.42962962962962964,58,0.9703703703703703,131,0.5259259259259259,71,1.0,135,3,71,4,57,0.022222222222222223,0.5259259259259259,0.02962962962962963,0.4222222222222222,0.0,0,0.45185185185185184,61,0.5037037037037037,68,0.4074074074074074,55,10000,0.0,0.4074074074074074,55,55,0,0,s1s3,135,0.9555555555555556,129
28.385185185185186,0.9629629629629629,130,3.5084745762711864,3.0,0.9555555555555556,129,0.9922480620155039,0.9922480620155039,128,128,129,129,0.453125,58,128,0.7068965517241379,41,58,0.3037037037037037,0.3925925925925926,53,0.0,0,0.044444444444444446,6,1.0,2.1307692307692307,2.0,130,0.4,54,0.9555555555555556,129,0.45925925925925926,62,1.0,135,2,62,14,57,0.014814814814814815,0.45925925925925926,0.1037037037037037,0.4222222222222222,0.0,0,0.5259259259259259,71,0.43703703703703706,59,0.3037037037037037,41,15000,0.0,0.3037037037037037,41,41,0,0,s1s3,135,0.9629629629629629,130
28.385185185185186,0.9703703703703703,131,3.1323529411764706,3.0,0.9407407407407408,127,0.9921259842519685,0.9921259842519685,126,126,127,127,0.5079365079365079,64,126,0.71875,46,64,0.34074074074074073,0.45925925925925926,62,0.0,0,0.05925925925925926,8,1.0,1.8549618320610688,1.0,131,0.4888888888888889,66,0.9407407407407408,127,0.5333333333333333,72,1.0,135,0,72,15,48,0,0.5333333333333333,0.1111111111111111,0.35555555555555557,0.0,0,0.4666666666666667,63,0.5037037037037037,68,0.34074074074074073,46,20000,0.0,0.34074074074074073,46,46,0,0,s1s3,135,0.9703703703703703,131
28.385185185185186,0.9851851851851852,133,3.129032258064516,3.0,0.9333333333333333,126,1.0,1.0,126,126,126,126,0.4603174603174603,58,126,0.7931034482758621,46,58,0.3407407407407408,0.4888888888888889,66,0.0,0,0.06666666666666667,9,1.0,1.6240601503759398,1.0,133,0.5407407407407407,73,0.9333333333333333,126,0.4740740740740741,64,1.0,135,1,64,16,54,0.007407407407407408,0.4740740740740741,0.11851851851851852,0.4,0.0,0,0.5185185185185185,70,0.45925925925925926,62,0.34074074074074073,46,25000,-5.551115123125783e-17,0.34074074074074073,46,46,0,0,s1s3,135,0.9851851851851852,133
28.385185185185186,0.9703703703703703,131,2.8870967741935485,3.0,0.9259259259259259,125,0.976,0.976,122,122,125,125,0.4672131147540984,57,122,0.6842105263157895,39,57,0.2888888888888889,0.48148148148148145,65,0.0,0,0.07407407407407407,10,0.9924242424242424,1.696969696969697,1.0,131,0.5481481481481482,74,0.9259259259259259,125,0.4888888888888889,66,1.0,135,0,64,20,51,0,0.4740740740740741,0.14814814814814814,0.37777777777777777,0.0,0,0.5259259259259259,71,0.45925925925925926,62,0.28888888888888886,39,30000,-5.551115123125783e-17,0.28888888888888886,39,39,0,0,s1s3,135,0.9777777777777777,132
28.385185185185186,0.9703703703703703,131,3.017543859649123,3.0,0.9259259259259259,125,0.976,0.976,122,122,125,125,0.4262295081967213,52,122,0.7692307692307693,40,52,0.2962962962962963,0.5111111111111111,69,0.0,0,0.07407407407407407,10,0.9849624060150376,1.631578947368421,1.0,131,0.5703703703703704,77,0.9259259259259259,125,0.42962962962962964,58,1.0,135,1,55,18,61,0.007407407407407408,0.4074074074074074,0.13333333333333333,0.45185185185185184,0.0,0,0.5851851851851851,79,0.4222222222222222,57,0.2962962962962963,40,35000,0.0,0.2962962962962963,40,40,0,0,s1s3,135,0.9851851851851852,133
28.385185185185186,0.9851851851851852,133,3.3181818181818183,3.0,0.9629629629629629,130,0.9846153846153847,0.9846153846153847,128,128,130,130,0.5,64,128,0.59375,38,64,0.2814814814814815,0.5185185185185185,70,0.0,0,0.037037037037037035,5,0.9925373134328358,1.7014925373134329,1.0,133,0.5481481481481482,74,0.9629629629629629,130,0.4888888888888889,66,1.0,135,1,65,16,53,0.007407407407407408,0.48148148148148145,0.11851851851851852,0.3925925925925926,0.0,0,0.5111111111111111,69,0.4888888888888889,66,0.2814814814814815,38,40000,0.0,0.2814814814814815,38,38,0,0,s1s3,135,0.9925925925925926,134
28.385185185185186,0.9851851851851852,133,3.1194029850746268,3.0,0.9333333333333333,126,0.9841269841269841,0.9841269841269841,124,124,126,126,0.5,62,124,0.7096774193548387,44,62,0.32592592592592595,0.5111111111111111,69,0.0,0,0.06666666666666667,9,0.9925373134328358,1.6791044776119404,1.0,133,0.5777777777777777,78,0.9333333333333333,126,0.4962962962962963,67,1.0,135,1,65,19,50,0.007407407407407408,0.48148148148148145,0.14074074074074075,0.37037037037037035,0.0,0,0.5111111111111111,69,0.4962962962962963,67,0.32592592592592595,44,45000,0.0,0.32592592592592595,44,44,0,0,s1s3,135,0.9925925925925926,134
28.385185185185186,0.9925925925925926,134,3.0285714285714285,3.0,0.9333333333333333,126,0.9920634920634921,0.9920634920634921,125,125,126,126,0.512,64,125,0.65625,42,64,0.3111111111111111,0.5703703703703704,77,0.0,0,0.06666666666666667,9,0.9851851851851852,1.5851851851851853,1.0,133,0.6370370370370371,86,0.9333333333333333,126,0.5185185185185185,70,1.0,135,0,68,25,42,0,0.5037037037037037,0.18518518518518517,0.3111111111111111,0.0,0,0.4962962962962963,67,0.5185185185185185,70,0.3111111111111111,42,50000,0.0,0.3111111111111111,42,42,0,0,s1s3,135,1.0,135
