avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
7.651851851851852,4.607407407407408,2,88,45,135,0.014814814814814815,0.6518518518518519,0.3333333333333333,5000,s1s3
6.518518518518518,3.3185185185185184,15,75,45,135,0.1111111111111111,0.5555555555555556,0.3333333333333333,10000,s1s3
6.266666666666667,3.3703703703703702,26,76,33,135,0.1925925925925926,0.562962962962963,0.24444444444444444,15000,s1s3
5.992592592592593,3.037037037037037,20,68,47,135,0.14814814814814814,0.5037037037037037,0.34814814814814815,20000,s1s3
6.192592592592592,3.237037037037037,22,64,49,135,0.16296296296296298,0.4740740740740741,0.362962962962963,25000,s1s3
6.051851851851852,3.1703703703703705,28,63,44,135,0.2074074074074074,0.4666666666666667,0.32592592592592595,30000,s1s3
6.62962962962963,3.488888888888889,32,58,45,135,0.23703703703703705,0.42962962962962964,0.3333333333333333,35000,s1s3
6.192592592592592,3.259259259259259,27,70,38,135,0.2,0.5185185185185185,0.2814814814814815,40000,s1s3
6.562962962962963,3.3703703703703702,36,59,40,135,0.26666666666666666,0.43703703703703706,0.2962962962962963,45000,s1s3
5.940740740740741,3.0296296296296297,29,62,44,135,0.21481481481481482,0.45925925925925926,0.32592592592592595,50000,s1s3
