avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_SUCCESS,step,task_type
9.851851851851851,2.933333333333333,105,5,24,1,135,0.7777777777777778,0.037037037037037035,0.17777777777777778,0.007407407407407408,2000,s1s3
10.459259259259259,2.22962962962963,97,9,28,1,135,0.7185185185185186,0.06666666666666667,0.2074074074074074,0.007407407407407408,4000,s1s3
10.577777777777778,1.9185185185185185,98,9,28,0,135,0.725925925925926,0.06666666666666667,0.2074074074074074,0.0,6000,s1s3
13.748148148148148,3.785185185185185,88,4,43,0,135,0.6518518518518519,0.02962962962962963,0.31851851851851853,0.0,8000,s1s3
13.777777777777779,2.022222222222222,85,6,43,1,135,0.6296296296296297,0.044444444444444446,0.31851851851851853,0.007407407407407408,10000,s1s3
15.311111111111112,2.3925925925925924,81,4,49,1,135,0.6,0.02962962962962963,0.362962962962963,0.007407407407407408,12000,s1s3
17.37037037037037,3.088888888888889,64,11,60,0,135,0.4740740740740741,0.08148148148148149,0.4444444444444444,0.0,14000,s1s3
20.125925925925927,3.8666666666666667,62,1,72,0,135,0.45925925925925926,0.007407407407407408,0.5333333333333333,0.0,16000,s1s3
19.044444444444444,2.2074074074074073,59,8,68,0,135,0.43703703703703706,0.05925925925925926,0.5037037037037037,0.0,18000,s1s3
20.266666666666666,2.5703703703703704,56,5,74,0,135,0.4148148148148148,0.037037037037037035,0.5481481481481482,0.0,20000,s1s3
