avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
9.37111111111111,2.4555555555555557,43,0,22,128,257,450,0.09555555555555556,0,0.04888888888888889,0.28444444444444444,0.5711111111111111,2000,s1s3
12.93581081081081,5.462837837837838,155,119,15,7,0,296,0.5236486486486487,0.40202702702702703,0.05067567567567568,0.02364864864864865,0.0,2000,s1s2
9.053156146179402,2.558139534883721,61,1,20,74,145,301,0.2026578073089701,0.0033222591362126247,0.0664451827242525,0.24584717607973422,0.48172757475083056,2000,s2s3
6.691111111111111,1.8266666666666667,1,0,0,17,432,450,0.0022222222222222222,0,0,0.03777777777777778,0.96,4000,s1s3
7.1824324324324325,3.331081081081081,42,228,0,26,0,296,0.14189189189189189,0.7702702702702703,0,0.08783783783783784,0.0,4000,s1s2
5.01328903654485,1.7641196013289036,10,0,0,7,284,301,0.03322259136212625,0,0,0.023255813953488372,0.9435215946843853,4000,s2s3
6.604444444444445,1.8311111111111111,0,0,0,0,450,450,0,0,0,0,1.0,6000,s1s3
6.9324324324324325,3.5574324324324325,10,250,0,36,0,296,0.033783783783783786,0.8445945945945946,0,0.12162162162162163,0.0,6000,s1s2
4.813953488372093,1.681063122923588,3,0,0,0,298,301,0.009966777408637873,0,0,0,0.9900332225913622,6000,s2s3
6.2155555555555555,1.748888888888889,2,0,0,0,448,450,0.0044444444444444444,0,0,0,0.9955555555555555,8000,s1s3
6.597972972972973,3.4425675675675675,7,260,0,29,0,296,0.02364864864864865,0.8783783783783784,0,0.09797297297297297,0.0,8000,s1s2
4.717607973421927,1.627906976744186,2,0,0,0,299,301,0.006644518272425249,0,0,0,0.9933554817275747,8000,s2s3
5.971111111111111,1.5,4,0,0,0,446,450,0.008888888888888889,0,0,0,0.9911111111111112,10000,s1s3
6.456081081081081,3.364864864864865,12,259,0,25,0,296,0.04054054054054054,0.875,0,0.08445945945945946,0.0,10000,s1s2
4.744186046511628,1.5382059800664452,1,0,0,0,300,301,0.0033222591362126247,0,0,0,0.9966777408637874,10000,s2s3
6.528888888888889,1.7866666666666666,1,0,0,0,449,450,0.0022222222222222222,0,0,0,0.9977777777777778,12000,s1s3
6.631756756756757,3.641891891891892,15,251,0,30,0,296,0.05067567567567568,0.847972972972973,0,0.10135135135135136,0.0,12000,s1s2
5.003322259136213,1.5813953488372092,1,0,0,0,300,301,0.0033222591362126247,0,0,0,0.9966777408637874,12000,s2s3
6.591111111111111,1.8111111111111111,1,0,0,0,449,450,0.0022222222222222222,0,0,0,0.9977777777777778,14000,s1s3
6.695945945945946,3.706081081081081,23,244,0,29,0,296,0.0777027027027027,0.8243243243243243,0,0.09797297297297297,0.0,14000,s1s2
4.93687707641196,1.654485049833887,1,0,0,0,300,301,0.0033222591362126247,0,0,0,0.9966777408637874,14000,s2s3
6.297777777777778,1.4755555555555555,1,1,0,22,426,450,0.0022222222222222222,0.0022222222222222222,0,0.04888888888888889,0.9466666666666667,16000,s1s3
6.587837837837838,3.679054054054054,46,224,0,26,0,296,0.1554054054054054,0.7567567567567568,0,0.08783783783783784,0.0,16000,s1s2
4.893687707641196,1.5382059800664452,1,0,0,19,281,301,0.0033222591362126247,0,0,0.06312292358803986,0.9335548172757475,16000,s2s3
6.608888888888889,1.8844444444444444,0,0,0,11,439,450,0,0,0,0.024444444444444446,0.9755555555555555,18000,s1s3
6.679054054054054,4.054054054054054,58,211,0,27,0,296,0.19594594594594594,0.7128378378378378,0,0.09121621621621621,0.0,18000,s1s2
5.259136212624584,1.7574750830564785,1,0,0,9,291,301,0.0033222591362126247,0,0,0.029900332225913623,0.9667774086378738,18000,s2s3
6.351111111111111,1.84,0,0,0,34,416,450,0,0,0,0.07555555555555556,0.9244444444444444,20000,s1s3
6.726351351351352,3.929054054054054,45,225,0,26,0,296,0.15202702702702703,0.7601351351351351,0,0.08783783783783784,0.0,20000,s1s2
5.009966777408638,1.6710963455149501,2,0,0,34,265,301,0.006644518272425249,0,0,0.11295681063122924,0.8803986710963455,20000,s2s3
