avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,decomposition_chain_rate,eventA_prime_rate,eventA_prime_total,eventA_rate,eventA_total,eventB_prime_rate_given_A,eventB_prime_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_prime_rate_given_AB,eventC_prime_total,eventC_rate_given_AB,eventC_success,eventC_total,eventD_prime_rate_given_ABC,eventD_prime_total,eventD_rate_given_ABC,eventD_success,eventD_total,execution_chain_rate,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,hit_stage3_rate,hit_stage3_total,stage2_available_rate,stage2_available_total,stage2_stop_reason_count_NO_STOP,stage2_stop_reason_count_STOP_AT_STAGE3,stage2_stop_reason_count_STOP_WITH_MISSING_TARGET,stage2_stop_reason_rate_NO_STOP,stage2_stop_reason_rate_STOP_AT_STAGE3,stage2_stop_reason_rate_STOP_WITH_MISSING_TARGET,stage2_stop_success_rate,stage2_stop_success_total,stage2_stop_token_rate,stage2_stop_token_total,stage3_after_bridge_rate,stage3_after_bridge_total,stage3_stop_success_rate,stage3_stop_success_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,task_type,total_pairs,used_stage2_rate,used_stage2_total
0,0,0,0,0,0,0,0,0.9933554817275747,299,0,0,1.0,0,0,0,299,0,0,0,1.0,0,299,0,0,0,0,0,0.9933554817275747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9933554817275747,299,8000,0,0.9933554817275747,299,0,0,0,s2s3,301,0,0
27.406666666666666,0.9955555555555555,448,1.5022321428571428,1.0,0,0,0,1.0,450,0,0,0.9955555555555555,0.9955555555555555,448,448,450,450,0,0,1.0,448,448,0,0,0.9955357142857143,446,448,0,0.991111111111111,0.5488888888888889,247,0.0,0,0.0,0,0.9955555555555555,1.4866666666666666,1.0,448,0.5511111111111111,248,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,0.9955555555555555,448,0.9911111111111112,446,10000,1.1102230246251565e-16,0.9911111111111112,446,446,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,10000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9966777408637874,300,0,0,1.0,0,0,0,300,0,0,0,1.0,0,300,0,0,0,0,0,0.9966777408637874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9966777408637874,300,10000,0,0.9966777408637874,300,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.7866666666666666,1.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.9977777777777778,449,450,0,0.9977777777777778,0.4822222222222222,217,0.0,0,0.0,0,1.0,1.6155555555555556,2.0,450,0.4822222222222222,217,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.9977777777777778,449,12000,0.0,0.9977777777777778,449,449,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,12000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9966777408637874,300,0,0,1.0,0,0,0,300,0,0,0,1.0,0,300,0,0,0,0,0,0.9966777408637874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9966777408637874,300,12000,0,0.9966777408637874,300,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.8111111111111111,1.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.9977777777777778,449,450,0,0.9977777777777778,0.4711111111111111,212,0.0,0,0.0,0,1.0,1.6933333333333334,2.0,450,0.4711111111111111,212,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.9977777777777778,449,14000,0.0,0.9977777777777778,449,449,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,14000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9966777408637874,300,0,0,1.0,0,0,0,300,0,0,0,1.0,0,300,0,0,0,0,0,0.9966777408637874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9966777408637874,300,14000,0,0.9966777408637874,300,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.4755555555555555,1.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.9466666666666667,426,450,0,0.9466666666666667,0.5288888888888889,238,0.0,0,0.0,0,1.0,1.6044444444444443,1.0,450,0.5288888888888889,238,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.9466666666666667,426,16000,0.0,0.9466666666666667,426,426,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,16000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9966777408637874,300,0,0,1.0,0,0,0,300,0,0,0,0.9366666666666666,0,281,0,0,0,0,0,0.9335548172757475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9335548172757475,281,16000,0,0.9335548172757475,281,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.8844444444444444,2.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.9755555555555555,439,450,0,0.9755555555555555,0.6111111111111112,275,0.0,0,0.0,0,1.0,1.3888888888888888,1.0,450,0.6111111111111112,275,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.9755555555555555,439,18000,0.0,0.9755555555555555,439,439,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,18000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9966777408637874,300,0,0,1.0,0,0,0,300,0,0,0,0.97,0,291,0,0,0,0,0,0.9667774086378738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.9667774086378738,291,18000,0,0.9667774086378738,291,0,0,0,s2s3,301,0,0
27.406666666666666,1.0,450,1.84,1.0,0,0,0,1.0,450,0,0,1.0,1.0,450,450,450,450,0,0,1.0,450,450,0,0,0.9244444444444444,416,450,0,0.9244444444444444,0.5177777777777778,233,0.0,0,0.0,0,1.0,1.52,1.0,450,0.5177777777777778,233,1.0,450,1.0,450,1.0,450,0,450,0,0,1.0,0,0.0,0,0.0,0,1.0,450,0.9244444444444444,416,20000,0.0,0.9244444444444444,416,416,0,0,s1s3,450,1.0,450
0,0,0,0,0,0.0,1.0,296,0,0,1.0,296,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,296,0.0,0,0,296,0,0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,20000,0,0.0,0,0,0,0,s1s2,296,0,0
0,0,0,0,0,0,0,0,0.9933554817275747,299,0,0,1.0,0,0,0,299,0,0,0,0.8862876254180602,0,265,0,0,0,0,0,0.8803986710963454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,301,0.0,0,0,301,0,0,1.0,0,0.0,0,0.0,0,0,0,0.8803986710963455,265,20000,0,0.8803986710963455,265,0,0,0,s2s3,301,0,0
