avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_INVALID_TOKEN,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_INVALID_TOKEN,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
4.933333333333334,1.2074074074074075,5,0,57,2,17,54,135,0.037037037037037035,0,0.4222222222222222,0.014814814814814815,0.1259259259259259,0.4,2000,s1s3
8.266666666666667,2.237037037037037,8,0,46,13,8,60,135,0.05925925925925926,0,0.34074074074074073,0.0962962962962963,0.05925925925925926,0.4444444444444444,4000,s1s3
11.88888888888889,1.3333333333333333,21,0,43,33,25,13,135,0.15555555555555556,0,0.31851851851851853,0.24444444444444444,0.18518518518518517,0.0962962962962963,6000,s1s3
10.148148148148149,1.511111111111111,20,0,42,24,41,8,135,0.14814814814814814,0,0.3111111111111111,0.17777777777777778,0.3037037037037037,0.05925925925925926,8000,s1s3
10.637037037037038,1.9037037037037037,20,0,42,27,34,12,135,0.14814814814814814,0,0.3111111111111111,0.2,0.2518518518518518,0.08888888888888889,10000,s1s3
12.681481481481482,2.096296296296296,19,0,40,36,34,6,135,0.14074074074074075,0,0.2962962962962963,0.26666666666666666,0.2518518518518518,0.044444444444444446,12000,s1s3
13.4,1.5851851851851853,13,0,42,40,35,5,135,0.0962962962962963,0,0.3111111111111111,0.2962962962962963,0.25925925925925924,0.037037037037037035,14000,s1s3
18.096296296296295,1.2666666666666666,7,0,40,62,24,2,135,0.05185185185185185,0,0.2962962962962963,0.45925925925925926,0.17777777777777778,0.014814814814814815,16000,s1s3
21.25925925925926,1.3037037037037038,1,0,40,79,13,2,135,0.007407407407407408,0,0.2962962962962963,0.5851851851851851,0.0962962962962963,0.014814814814814815,18000,s1s3
16.896296296296295,2.933333333333333,9,1,39,55,27,4,135,0.06666666666666667,0.007407407407407408,0.28888888888888886,0.4074074074074074,0.2,0.02962962962962963,20000,s1s3
