avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_hit_nonfirst_total,eventA_rate,eventA_rate_given_available,eventA_total,eventA_total_available,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_rate_given_AB_and_available,eventC_success,eventC_success_available,eventC_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_non_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,stage2_available_rate,stage2_available_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.9955555555555555,448,0,0.9955555555555555,0.9955555555555555,448,448,1.0,1.0,448,448,448,448,0.22544642857142858,0.22544642857142858,101,101,448,0.22444444444444445,0.45111111111111113,203,0.0,0,0.008888888888888889,4,1.0,1.8705357142857142,2.0,448,0,0.45555555555555555,205,0.9911111111111112,446,1.0,450,5000,0.0,0.22444444444444445,101,101,0,0,450,0.9955555555555555,448
27.406666666666666,0.9422222222222222,424,0,0.9422222222222222,0.9422222222222222,424,424,1.0,1.0,424,424,424,424,0.20518867924528303,0.20518867924528303,87,87,424,0.19333333333333333,0.35333333333333333,159,0.013333333333333334,6,0.08,36,1.0,1.9363207547169812,2.0,424,0,0.37555555555555553,169,0.92,414,1.0,450,10000,0.0,0.19333333333333333,87,87,0,0,450,0.9422222222222222,424
27.406666666666666,0.9088888888888889,409,0,0.9088888888888889,0.9088888888888889,409,409,1.0,1.0,409,409,409,409,0.29584352078239606,0.29584352078239606,121,121,409,0.26888888888888884,0.4222222222222222,190,0.006666666666666667,3,0.10888888888888888,49,1.0,1.6699266503667483,1.0,409,0,0.47333333333333333,213,0.8911111111111111,401,1.0,450,15000,5.551115123125783e-17,0.2688888888888889,121,121,0,0,450,0.9088888888888889,409
27.406666666666666,0.8955555555555555,403,0,0.8977777777777778,0.8977777777777778,404,404,0.9975247524752475,0.9975247524752475,403,403,404,404,0.27543424317617865,0.27543424317617865,111,111,403,0.24666666666666665,0.38666666666666666,174,0.006666666666666667,3,0.10222222222222223,46,0.9975247524752475,1.7896039603960396,2.0,403,1,0.43555555555555553,196,0.8977777777777778,404,1.0,450,20000,2.7755575615628914e-17,0.24666666666666667,111,111,0,0,450,0.8977777777777778,404
27.406666666666666,0.9044444444444445,407,0,0.9044444444444445,0.9044444444444445,407,407,1.0,1.0,407,407,407,407,0.28255528255528256,0.28255528255528256,115,115,407,0.2555555555555556,0.37333333333333335,168,0.006666666666666667,3,0.10444444444444445,47,1.0,1.8894348894348894,2.0,407,0,0.41333333333333333,186,0.8955555555555555,403,1.0,450,25000,-5.551115123125783e-17,0.25555555555555554,115,115,0,0,450,0.9044444444444445,407
27.406666666666666,0.9088888888888889,409,0,0.9088888888888889,0.9088888888888889,409,409,1.0,1.0,409,409,409,409,0.2469437652811736,0.2469437652811736,101,101,409,0.22444444444444445,0.41333333333333333,186,0.011111111111111112,5,0.1111111111111111,50,1.0,1.7677261613691932,1.0,409,0,0.46,207,0.8888888888888888,400,1.0,450,30000,0.0,0.22444444444444445,101,101,0,0,450,0.9088888888888889,409
27.406666666666666,0.9022222222222223,406,0,0.9022222222222223,0.9022222222222223,406,406,1.0,1.0,406,406,406,406,0.30049261083743845,0.30049261083743845,122,122,406,0.27111111111111114,0.43333333333333335,195,0.008888888888888889,4,0.12,54,1.0,1.748768472906404,1.0,406,0,0.48,216,0.88,396,1.0,450,35000,0.0,0.27111111111111114,122,122,0,0,450,0.9022222222222223,406
27.406666666666666,0.9155555555555556,412,0,0.9177777777777778,0.9177777777777778,413,413,0.9975786924939467,0.9975786924939467,412,412,413,413,0.22572815533980584,0.22572815533980584,93,93,412,0.2066666666666667,0.42,189,0.006666666666666667,3,0.12,54,0.9975786924939467,1.757869249394673,1.0,412,1,0.47555555555555556,214,0.88,396,1.0,450,40000,-2.7755575615628914e-17,0.20666666666666667,93,93,0,0,450,0.9177777777777778,413
27.406666666666666,0.8888888888888888,400,0,0.8911111111111111,0.8911111111111111,401,401,0.9975062344139651,0.9975062344139651,400,400,401,401,0.2825,0.2825,113,113,400,0.25111111111111106,0.45111111111111113,203,0.006666666666666667,3,0.11333333333333333,51,0.9975062344139651,1.6758104738154613,1.0,400,1,0.5022222222222222,226,0.8866666666666667,399,1.0,450,45000,5.551115123125783e-17,0.2511111111111111,113,113,0,0,450,0.8911111111111111,401
27.406666666666666,0.9022222222222223,406,0,0.9022222222222223,0.9022222222222223,406,406,1.0,1.0,406,406,406,406,0.3226600985221675,0.3226600985221675,131,131,406,0.2911111111111111,0.42,189,0.008888888888888889,4,0.1511111111111111,68,1.0,1.687192118226601,1.0,406,0,0.49333333333333335,222,0.8488888888888889,382,1.0,450,50000,0.0,0.2911111111111111,131,131,0,0,450,0.9022222222222223,406
