avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step
5.742222222222222,3.051111111111111,19,330,101,450,0.042222222222222223,0.7333333333333333,0.22444444444444445,5000
5.495555555555556,2.66,80,283,87,450,0.17777777777777778,0.6288888888888889,0.19333333333333333,10000
5.48,2.488888888888889,130,199,121,450,0.28888888888888886,0.44222222222222224,0.2688888888888889,15000
5.495555555555556,2.4266666666666667,144,195,111,450,0.32,0.43333333333333335,0.24666666666666667,20000
5.8933333333333335,2.6866666666666665,161,174,115,450,0.35777777777777775,0.38666666666666666,0.25555555555555554,25000
5.74,2.6044444444444443,156,193,101,450,0.3466666666666667,0.4288888888888889,0.22444444444444445,30000
5.871111111111111,2.6,170,158,122,450,0.37777777777777777,0.3511111111111111,0.27111111111111114,35000
5.6066666666666665,2.568888888888889,163,194,93,450,0.3622222222222222,0.4311111111111111,0.20666666666666667,40000
5.586666666666667,2.417777777777778,157,180,113,450,0.3488888888888889,0.4,0.2511111111111111,45000
5.737777777777778,2.5555555555555554,163,156,131,450,0.3622222222222222,0.3466666666666667,0.2911111111111111,50000
