chance_level_mean,prob_bridgeable_given_stage2_path_mean,prob_deadend_given_valid_mean,prob_invalid_mean,prob_skip_stage2_given_valid_mean,prob_stage2_path_given_valid_mean,prob_target_given_valid_mean,prob_valid_mean,step
0.9848651608014354,0.9975851987943195,0.0003403624533714475,0.08435564716657003,0.005154830611239331,0.9946821050997892,0.999659637923807,0.9156443528334299,5000
0.9848651608014354,0.9984495309978723,0.00017855773349595988,0.13886425202091535,0.011687647854833278,0.9882219404110545,0.9998214427715179,0.8611357479790847,10000
0.9848651608014354,0.998690123519324,0.0006521738915430989,0.15046727537280982,0.018497010631514276,0.9809562024445833,0.9993478252014913,0.8495327246271902,15000
0.9848651608014354,0.9996809613936282,0.0006118895767087513,0.13823708560007314,0.02379337461820946,0.9756083720213954,0.9993881106335623,0.8617629143999269,20000
0.9848651608014354,0.9989333886855005,2.9157402395632717e-05,0.12455324933404982,0.02678192122539221,0.9732037684918685,0.9999708431833225,0.8754467506659501,25000
0.9848651608014354,0.9990861533810217,1.0268171953280559e-05,0.12269609964349204,0.02430594698507222,0.9756905552290749,0.9999897325984913,0.877303900356508,30000
0.9848651608014354,0.9954928590683136,1.6735107412835352e-05,0.13277578224486206,0.02326682530806476,0.9767304208081949,0.9999832648522408,0.8672242177551379,35000
0.9848651608014354,0.9953476761713986,3.6061383263211755e-05,0.1304866949921739,0.02230431732914761,0.9776954201453097,0.9999639395753906,0.8695133050078261,40000
0.9848651608014354,0.9944167876522331,0.00019420038433591238,0.13111813090664023,0.031446085266485777,0.9685431380155617,0.9998058001158245,0.8688818690933597,45000
0.9848651608014354,0.9946171986679635,0.0011962544725501508,0.16298112279408897,0.025647527051082666,0.9743044714156817,0.9988037451275071,0.8370188772059111,50000
