avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SUCCESS,step,task_type
5.7444444444444445,3.042222222222222,17,319,114,450,0.03777777777777778,0.7088888888888889,0.25333333333333335,5000,s1s3
5.486666666666666,2.6777777777777776,74,280,96,450,0.16444444444444445,0.6222222222222222,0.21333333333333335,10000,s1s3
5.446666666666666,2.471111111111111,133,204,113,450,0.29555555555555557,0.4533333333333333,0.2511111111111111,15000,s1s3
5.551111111111111,2.451111111111111,140,194,116,450,0.3111111111111111,0.4311111111111111,0.2577777777777778,20000,s1s3
5.9511111111111115,2.7133333333333334,160,172,118,450,0.35555555555555557,0.38222222222222224,0.26222222222222225,25000,s1s3
5.737777777777778,2.5866666666666664,157,192,101,450,0.3488888888888889,0.4266666666666667,0.22444444444444445,30000,s1s3
5.924444444444444,2.6355555555555554,168,158,124,450,0.37333333333333335,0.3511111111111111,0.27555555555555555,35000,s1s3
5.528888888888889,2.488888888888889,157,199,94,450,0.3488888888888889,0.44222222222222224,0.2088888888888889,40000,s1s3
5.5,2.388888888888889,153,185,112,450,0.34,0.4111111111111111,0.24888888888888888,45000,s1s3
5.762222222222222,2.571111111111111,164,158,128,450,0.36444444444444446,0.3511111111111111,0.28444444444444444,50000,s1s3
