avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step
9.591111111111111,2.348888888888889,77,144,78,16,135,450,0.1711111111111111,0.32,0.17333333333333334,0.035555555555555556,0.3,2000
14.717777777777778,2.7466666666666666,57,147,161,33,52,450,0.12666666666666668,0.32666666666666666,0.35777777777777775,0.07333333333333333,0.11555555555555555,4000
16.33111111111111,2.4155555555555557,35,158,189,35,33,450,0.07777777777777778,0.3511111111111111,0.42,0.07777777777777778,0.07333333333333333,6000
18.031111111111112,2.5355555555555553,34,153,213,33,17,450,0.07555555555555556,0.34,0.47333333333333333,0.07333333333333333,0.03777777777777778,8000
18.711111111111112,1.451111111111111,24,168,229,21,8,450,0.05333333333333334,0.37333333333333335,0.5088888888888888,0.04666666666666667,0.017777777777777778,10000
17.613333333333333,1.4266666666666667,25,167,208,38,12,450,0.05555555555555555,0.3711111111111111,0.4622222222222222,0.08444444444444445,0.02666666666666667,12000
19.166666666666668,1.488888888888889,17,165,235,31,2,450,0.03777777777777778,0.36666666666666664,0.5222222222222223,0.06888888888888889,0.0044444444444444444,14000
19.56222222222222,1.46,18,166,239,27,0,450,0.04,0.3688888888888889,0.5311111111111111,0.06,0.0,16000
20.177777777777777,1.4177777777777778,18,162,251,19,0,450,0.04,0.36,0.5577777777777778,0.042222222222222223,0.0,18000
20.453333333333333,1.4244444444444444,29,149,253,19,0,450,0.06444444444444444,0.33111111111111113,0.5622222222222222,0.042222222222222223,0.0,20000
