avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_OVER_SHOOT,rate_SUCCESS,step,task_type
4.898648648648648,1.820945945945946,6,277,12,1,296,0.02027027027027027,0.9358108108108109,0.04054054054054054,0.0033783783783783786,5000,s1s2
4.820945945945946,1.9256756756756757,49,235,12,0,296,0.16554054054054054,0.793918918918919,0.04054054054054054,0.0,10000,s1s2
4.699324324324325,1.739864864864865,51,239,6,0,296,0.17229729729729729,0.8074324324324325,0.02027027027027027,0.0,15000,s1s2
4.780405405405405,1.8175675675675675,58,227,11,0,296,0.19594594594594594,0.7668918918918919,0.037162162162162164,0.0,20000,s1s2
4.719594594594595,1.722972972972973,62,224,10,0,296,0.20945945945945946,0.7567567567567568,0.033783783783783786,0.0,25000,s1s2
4.77027027027027,1.7533783783783783,78,207,11,0,296,0.2635135135135135,0.6993243243243243,0.037162162162162164,0.0,30000,s1s2
4.743243243243243,1.902027027027027,69,217,10,0,296,0.23310810810810811,0.7331081081081081,0.033783783783783786,0.0,35000,s1s2
4.851351351351352,1.8885135135135136,81,205,10,0,296,0.27364864864864863,0.6925675675675675,0.033783783783783786,0.0,40000,s1s2
4.777027027027027,1.7364864864864864,80,208,8,0,296,0.2702702702702703,0.7027027027027027,0.02702702702702703,0.0,45000,s1s2
4.783783783783784,1.8243243243243243,78,211,7,0,296,0.2635135135135135,0.7128378378378378,0.02364864864864865,0.0,50000,s1s2
