avg_bridge_candidates_available,bridge_hit_any_rate,bridge_hit_any_total,bridge_to_stage3_hops_mean,bridge_to_stage3_hops_median,eventA_rate,eventA_total,eventB_rate_given_A,eventB_rate_given_A_and_available,eventB_success,eventB_success_available,eventB_total,eventB_total_available,eventC_rate_given_AB,eventC_success,eventC_total,eventD_rate_given_ABC,eventD_success,eventD_total,expected_success_from_chain,first_bridge_rate,first_bridge_total,first_direct_target_rate,first_direct_target_total,first_invalid_rate,first_invalid_total,first_stage2_bridge_rate_given_A,first_stage2_index_mean,first_stage2_index_median,first_stage2_is_bridge_total,first_stage2_rate,first_stage2_total,first_valid_rate,first_valid_total,stage2_available_rate,stage2_available_total,stage3_after_bridge_rate,stage3_after_bridge_total,step,success_gap_vs_expected,success_rate,success_total,success_with_bridge,success_with_stage2_no_bridge,success_without_stage2,total_pairs,used_stage2_rate,used_stage2_total
27.406666666666666,0.9977777777777778,449,1.6770601336302895,1.0,1.0,450,0.9977777777777778,0.9977777777777778,449,449,450,450,1.0,449,449,0.9242761692650334,415,449,0.9222222222222223,0.5577777777777778,251,0.0,0,0.0,0,0.9977777777777778,1.5,1.0,449,0.56,252,1.0,450,1.0,450,0.9977777777777778,449,5000,0.0,0.9222222222222223,415,415,0,0,450,1.0,450
27.406666666666666,0.9977777777777778,449,1.7951002227171493,2.0,0.9866666666666667,444,0.9977477477477478,0.9977477477477478,443,443,444,444,1.0,443,443,0.8487584650112867,376,443,0.8355555555555556,0.6288888888888889,283,0.0,0,0.013333333333333334,6,0.9955555555555555,1.4044444444444444,1.0,448,0.64,288,0.9866666666666667,444,1.0,450,0.9977777777777778,449,10000,0.0,0.8355555555555556,376,376,0,0,450,1.0,450
27.406666666666666,0.9977777777777778,449,1.7924107142857142,2.0,0.9777777777777777,440,0.9977272727272727,0.9977272727272727,439,439,440,440,0.9977220956719818,438,439,0.7990867579908676,350,438,0.7777777777777778,0.5866666666666667,264,0.0022222222222222222,1,0.022222222222222223,10,0.9977777777777778,1.4577777777777778,1.0,449,0.6,270,0.9777777777777777,440,1.0,450,0.9955555555555555,448,15000,0.0,0.7777777777777778,350,350,0,0,450,1.0,450
27.406666666666666,0.9933333333333333,447,1.738255033557047,1.0,0.9733333333333334,438,0.997716894977169,0.997716894977169,437,437,438,438,1.0,437,437,0.7185354691075515,314,437,0.6977777777777778,0.5777777777777777,260,0.0,0,0.02666666666666667,12,1.0,1.476510067114094,1.0,447,0.5911111111111111,266,0.9733333333333334,438,1.0,450,0.9933333333333333,447,20000,0.0,0.6977777777777778,314,314,0,0,450,0.9933333333333333,447
27.406666666666666,0.9933333333333333,447,1.7567567567567568,1.0,0.9666666666666667,435,0.9977011494252873,0.9977011494252873,434,434,435,435,0.9930875576036866,431,434,0.703016241299304,303,431,0.6733333333333333,0.62,279,0.0,0,0.03333333333333333,15,0.9977678571428571,1.4397321428571428,1.0,447,0.6444444444444445,290,0.9666666666666667,435,1.0,450,0.9866666666666667,444,25000,0.0,0.6733333333333333,303,303,0,0,450,0.9955555555555555,448
27.406666666666666,0.9933333333333333,447,1.7780269058295963,1.0,0.9644444444444444,434,0.9976958525345622,0.9976958525345622,433,433,434,434,0.9976905311778291,432,433,0.7777777777777778,336,432,0.7466666666666667,0.5733333333333334,258,0.0,0,0.035555555555555556,16,0.9977678571428571,1.4866071428571428,1.0,447,0.5933333333333334,267,0.9644444444444444,434,1.0,450,0.9911111111111112,446,30000,0.0,0.7466666666666667,336,336,0,0,450,0.9955555555555555,448
27.406666666666666,0.9955555555555555,448,1.7120535714285714,1.0,0.9644444444444444,434,0.9976958525345622,0.9976958525345622,433,433,434,434,1.0,433,433,0.7344110854503464,318,433,0.7066666666666667,0.6155555555555555,277,0.0,0,0.035555555555555556,16,0.9977728285077951,1.423162583518931,1.0,448,0.6377777777777778,287,0.9644444444444444,434,1.0,450,0.9955555555555555,448,35000,0.0,0.7066666666666667,318,318,0,0,450,0.9977777777777778,449
27.406666666666666,0.9977777777777778,449,1.7522321428571428,1.0,0.9644444444444444,434,0.9976958525345622,0.9976958525345622,433,433,434,434,0.9976905311778291,432,433,0.7106481481481481,307,432,0.6822222222222222,0.5622222222222222,253,0.0,0,0.035555555555555556,16,0.9977777777777778,1.511111111111111,1.0,449,0.5822222222222222,262,0.9644444444444444,434,1.0,450,0.9955555555555555,448,40000,0.0,0.6822222222222222,307,307,0,0,450,1.0,450
27.406666666666666,0.9977777777777778,449,1.75,1.0,0.9688888888888889,436,0.9977064220183486,0.9977064220183486,435,435,436,436,0.9977011494252873,434,435,0.7096774193548387,308,434,0.6844444444444445,0.6066666666666667,273,0.0,0,0.03111111111111111,14,0.9955555555555555,1.4244444444444444,1.0,448,0.6288888888888889,283,0.9688888888888889,436,1.0,450,0.9955555555555555,448,45000,-1.1102230246251565e-16,0.6844444444444444,308,308,0,0,450,1.0,450
27.406666666666666,0.9933333333333333,447,1.7937219730941705,2.0,0.9644444444444444,434,0.9976958525345622,0.9976958525345622,433,433,434,434,0.9976905311778291,432,433,0.7129629629629629,308,432,0.6844444444444444,0.5977777777777777,269,0.0,0,0.035555555555555556,16,0.9933184855233853,1.44543429844098,1.0,446,0.6177777777777778,278,0.9644444444444444,434,1.0,450,0.9911111111111112,446,50000,0.0,0.6844444444444444,308,308,0,0,450,0.9977777777777778,449
