avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step
9.448888888888888,2.462222222222222,42,0,23,128,257,450,0.09333333333333334,0,0.051111111111111114,0.28444444444444444,0.5711111111111111,2000
6.691111111111111,1.8288888888888888,1,0,0,17,432,450,0.0022222222222222222,0,0,0.03777777777777778,0.96,4000
6.613333333333333,1.8333333333333333,0,0,0,0,450,450,0,0,0,0,1.0,6000
6.204444444444444,1.74,2,0,0,0,448,450,0.0044444444444444444,0,0,0,0.9955555555555555,8000
5.9688888888888885,1.5,4,0,0,0,446,450,0.008888888888888889,0,0,0,0.9911111111111112,10000
6.535555555555556,1.7866666666666666,1,0,0,0,449,450,0.0022222222222222222,0,0,0,0.9977777777777778,12000
6.591111111111111,1.8133333333333332,1,0,0,0,449,450,0.0022222222222222222,0,0,0,0.9977777777777778,14000
6.295555555555556,1.4777777777777779,1,1,0,22,426,450,0.0022222222222222222,0.0022222222222222222,0,0.04888888888888889,0.9466666666666667,16000
6.604444444444445,1.8755555555555556,0,0,0,11,439,450,0,0,0,0.024444444444444446,0.9755555555555555,18000
6.371111111111111,1.8577777777777778,0,0,0,34,416,450,0,0,0,0.07555555555555556,0.9244444444444444,20000
