prob_bridge_after_src_mean,prob_bridge_after_src_median,prob_continue_after_target_mean,prob_continue_after_target_median,prob_eos_after_bridge_mean,prob_eos_after_bridge_median,prob_eos_after_prompt_mean,prob_eos_after_prompt_median,prob_eos_after_src_mean,prob_eos_after_src_median,prob_eos_after_target_mean,prob_eos_after_target_median,prob_src_repeat_mean,prob_src_repeat_median,prob_target_after_bridge_mean,prob_target_after_bridge_median,prob_target_direct_after_src_mean,prob_target_direct_after_src_median,step
0.4002675690294968,0.3167499303817749,0.0032645122872458562,2.6285648345947266e-05,0.19577214311965438,0.015399617608636618,0.0012193661796049721,0.0001332256870227866,0.013441804437226503,0.00024562083126511425,0.9967354877127541,0.999973714351654,0.006159891712785692,0.0027655601734295487,0.029225386377751288,0.00033848789462354034,0.001989282127692423,6.856489562778734e-05,5000
0.3116717203925105,0.14571326971054077,0.00011578294965955946,3.5762786865234375e-07,0.2400030121031316,0.015670569613575935,0.0018516868039102194,4.660462036554236e-05,0.008416550561569189,1.7694859707262367e-05,0.9998842170503405,0.9999996423721313,0.012514872780832699,0.0007725324248895049,0.0374123986939252,4.696301948570181e-05,0.0061051577010853226,2.9786554478050675e-05,10000
0.35024803452216374,0.1433151662349701,0.001356631252500746,1.1920928955078125e-07,0.24932631369746028,0.010522397235035896,0.001230107597588488,2.5306369479949353e-06,0.005776401794244473,2.347002237002016e-06,0.9986433687474993,0.9999998807907104,0.01608299120810079,0.0002110984714818187,0.0454679894164309,9.059623153007124e-06,0.011643550799155843,5.978316266919137e-06,15000
0.30853713037533453,0.0698988102376461,0.0005897100766499837,0.0,0.24414952006923285,0.006072178250178695,0.0007720189778298899,1.3654663462148164e-06,0.009138279111742273,5.896827133256011e-07,0.99941028992335,1.0,0.01129501947414273,4.463864388526417e-05,0.04108333445221662,2.0096615571674192e-06,0.01037587091441795,1.2133278914916446e-06,20000
0.3079422317635211,0.0578992385417223,0.001571405331293742,0.0,0.18591690412948916,0.0006549604586325586,0.0018227606833771798,2.2963862988945039e-07,0.005436428698011658,1.0337920741676498e-07,0.9984285946687063,1.0,0.011770849340534803,2.0548726752167568e-05,0.04230635713410646,2.682400577214139e-07,0.008037217768391577,7.724949568910233e-08,25000
0.33664327858468535,0.12699883431196213,0.0038038503544198144,0.0,0.22123149394853447,0.0009441757283639163,0.0007047314561492437,9.692373481584582e-08,0.005156577863918211,3.828800210214922e-08,0.9961961496455802,1.0,0.012725773837138007,5.353917458705837e-06,0.04404665788009359,6.690536835662897e-08,0.009935192237764942,2.9800276912794743e-08,30000
0.30286457681720885,0.07249018922448158,0.004075141135189269,0.0,0.15774628009595348,5.524086009245366e-05,0.00045590504236032986,3.19653334912573e-08,0.003825872609527061,2.1407500661041468e-08,0.9959248588648107,1.0,0.014457363162205113,2.3895406684459886e-06,0.04700747224686776,3.602055542728522e-08,0.0071835999088207285,9.644543386144733e-09,35000
0.3568400028091302,0.1096402108669281,0.0020575302839279173,0.0,0.2039035010526443,0.00034161466464865953,0.001699714295058951,3.010405169590058e-08,0.005956787932752421,2.492061135228596e-08,0.997942469716072,1.0,0.011849741106594053,1.3294673522068479e-06,0.04621665423381166,5.9668208152174884e-09,0.006733141359241653,3.951656779577206e-09,40000
0.38729858758259494,0.19196757674217224,0.0022012054920196532,0.0,0.2212395255334006,0.00020137988758506253,0.0020311429310231333,1.5860982749416053e-08,0.004938683514367786,1.9020635733113522e-08,0.9977987945079804,1.0,0.010978942440113519,8.363709298464528e-07,0.0493660821727411,2.111965713424979e-09,0.004984233655151435,1.4139274751023834e-09,45000
0.4113204411448838,0.2195981740951538,0.000374037159813775,0.0,0.18611949682382556,6.112547634984367e-05,0.0004970237479460892,9.20462861486726e-09,0.003781966030906787,2.795049192094723e-09,0.9996259628401862,1.0,0.015693127768043855,6.243952554996213e-07,0.0479969826257912,7.460590756291907e-10,0.002609435743742992,6.016411258080723e-10,50000
