chance_level_mean,prob_bridge_given_valid_mean,prob_bridge_given_valid_median,prob_causal_given_bridge_mean,prob_causal_given_bridge_median,prob_valid_mean,prob_valid_median,step
0.12784995251661918,0.5097361909549959,0.5050395054056888,0.9978760959442894,1.0,0.9156443528334299,0.9399209916591644,5000
0.12784995251661918,0.44219470801109545,0.4077265864008984,0.9994023803251388,1.0,0.8611357479790847,0.9273545742034912,10000
0.12784995251661918,0.47781760553367963,0.4336057054944412,0.9985729456642538,1.0,0.8495327246271902,0.9544682502746582,15000
0.12784995251661918,0.4608727449098165,0.40357333108805393,0.998799594939068,1.0,0.8617629143999269,0.969675600528717,20000
0.12784995251661918,0.43314686424989246,0.2727008694926605,0.9997131284980355,1.0,0.8754467506659501,0.9862805306911469,25000
0.12784995251661918,0.4828824513781974,0.40319524707535703,0.9973282439052553,1.0,0.877303900356508,0.9913578927516937,30000
0.12784995251661918,0.4853222218441984,0.45280111697880165,0.9961292428402648,1.0,0.8672242177551379,0.9901902973651886,35000
0.12784995251661918,0.4822595896079742,0.41075483462533857,0.9917190184343436,1.0,0.8695133050078261,0.991118460893631,40000
0.12784995251661918,0.5160553658978458,0.5270411228650214,0.9891194592280443,1.0,0.8688818690933597,0.9924606084823608,45000
0.12784995251661918,0.49628796024874033,0.4735972472747816,0.9844426932469045,1.0,0.8370188772059111,0.9913647472858429,50000
