avg_path_length,avg_stage2_count,avg_target_index,count_INVALID_EDGE,count_MISSING_TARGET,count_SRC_MISMATCH,count_SRC_MISMATCH_INVALID_EDGE,count_SRC_MISMATCH_NO_TARGET,count_STOP_BEFORE_START,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_SRC_MISMATCH,rate_SRC_MISMATCH_INVALID_EDGE,rate_SRC_MISMATCH_NO_TARGET,rate_STOP_BEFORE_START,rate_SUCCESS,step
5.74,2.851111111111111,5.373684210526315,1,,142,83,224,,,450,0.0022222222222222222,,0.31555555555555553,0.18444444444444444,0.49777777777777776,,,5000
5.466666666666667,2.5555555555555554,4.8125,2,1,96,134,216,1,,450,0.0044444444444444444,0.0022222222222222222,0.21333333333333335,0.29777777777777775,0.48,0.0022222222222222222,,10000
5.28,2.2666666666666666,4.585635359116022,5,3,115,149,178,,,450,0.011111111111111112,0.006666666666666667,0.25555555555555554,0.33111111111111113,0.39555555555555555,,,15000
5.431111111111111,2.3666666666666667,4.649717514124294,4,1,102,164,179,,,450,0.008888888888888889,0.0022222222222222222,0.22666666666666666,0.36444444444444446,0.3977777777777778,,,20000
5.811111111111111,2.4955555555555557,4.728323699421965,4,1,104,194,145,2,,450,0.008888888888888889,0.0022222222222222222,0.2311111111111111,0.4311111111111111,0.32222222222222224,0.0044444444444444444,,25000
5.673333333333333,2.54,4.723926380368098,4,1,110,160,175,,,450,0.008888888888888889,0.0022222222222222222,0.24444444444444444,0.35555555555555557,0.3888888888888889,,,30000
5.82,2.591111111111111,4.773255813953488,5,1,106,176,161,,1,450,0.011111111111111112,0.0022222222222222222,0.23555555555555555,0.39111111111111113,0.35777777777777775,,0.0022222222222222222,35000
5.615555555555556,2.506666666666667,4.777777777777778,3,1,98,170,178,,,450,0.006666666666666667,0.0022222222222222222,0.21777777777777776,0.37777777777777777,0.39555555555555555,,,40000
5.622222222222222,2.526666666666667,4.993975903614458,4,,102,158,186,,,450,0.008888888888888889,,0.22666666666666666,0.3511111111111111,0.41333333333333333,,,45000
5.7844444444444445,2.637777777777778,4.721925133689839,8,1,121,155,164,,1,450,0.017777777777777778,0.0022222222222222222,0.2688888888888889,0.34444444444444444,0.36444444444444446,,0.0022222222222222222,50000
